genome_id,SIR
470.8014,1
470.1559,1
470.1561,1
470.1562,1
470.1563,1
470.1564,1
470.1565,1
470.7517,1
470.7969,1
470.797,1
470.7971,1
470.7972,1
470.7973,1
470.7974,1
470.7975,1
470.7968,1
470.7976,1
470.7978,1
470.7979,1
470.798,1
470.7981,1
470.7982,1
470.7983,1
470.7984,1
470.7977,1
470.7967,1
470.7966,1
470.7965,1
470.7948,1
470.7949,1
470.795,1
470.7951,1
470.7952,1
470.7953,1
470.7954,1
470.7955,1
470.7956,1
470.7957,1
470.7958,1
470.7959,1
470.796,1
470.7961,1
470.7962,1
470.7963,1
470.7964,1
470.7985,1
470.7986,1
470.7987,1
470.7988,1
470.801,1
470.8011,1
470.8012,1
470.8013,1
470.8015,1
470.8016,1
470.8017,1
470.8018,1
470.8019,1
470.8021,1
470.8022,1
470.8023,1
470.8009,1
470.7947,1
470.8008,1
470.8006,1
470.7989,1
470.799,1
470.7991,1
470.7992,1
470.7993,1
470.7994,1
470.7995,1
470.7996,1
470.7997,1
470.7998,1
470.7999,1
470.8,1
470.8001,1
470.8002,1
470.8004,1
470.8005,1
470.8007,1
470.7946,1
470.7944,1
470.7885,1
470.7886,1
470.7887,1
470.7888,1
470.7889,1
470.789,1
470.7891,1
470.7884,1
470.7892,1
470.7894,1
470.7895,1
470.7897,1
470.7898,1
470.7899,1
470.79,1
470.7901,1
470.7893,1
470.7883,1
470.7882,1
470.7881,1
470.7864,1
470.7865,1
470.7866,1
470.7867,1
470.7868,1
470.7869,1
470.787,1
470.7871,1
470.7872,1
470.7873,1
470.7874,1
470.7875,1
470.7876,1
470.7877,1
470.7878,1
470.7879,1
470.788,1
470.7902,1
470.7903,1
470.7904,1
470.7905,1
470.7927,1
470.7928,1
470.7929,1
470.793,1
470.7931,1
470.7932,1
470.7933,1
470.7934,1
470.7935,1
470.7936,1
470.7937,1
470.7938,1
470.7939,1
470.794,1
470.7941,1
470.7942,1
470.7943,1
470.7926,1
470.7945,1
470.7925,1
470.7923,1
470.7906,1
470.7907,1
470.7908,1
470.7909,1
470.791,1
470.7911,1
470.7912,1
470.7913,1
470.7914,1
470.7915,1
470.7916,1
470.7917,1
470.7918,1
470.7919,1
470.792,1
470.7921,1
470.7922,1
470.7924,1
470.7863,1
470.8099,1
470.81,1
470.8101,1
470.8102,1
470.8104,1
470.8105,1
470.8106,1
470.8107,1
470.8103,1
470.8108,1
470.8072,1
470.8095,1
470.8096,1
470.8097,1
470.8098,1
470.8094,1
470.8093,1
470.8091,1
470.8074,1
470.8075,1
470.8076,1
470.8077,1
470.8078,1
470.8079,1
470.808,1
470.8082,1
470.8083,1
470.8088,1
470.8089,1
470.809,1
470.8092,1
470.7862,1
470.8003,1
470.786,1
470.7631,1
470.7632,1
470.7633,1
470.7634,1
470.7635,1
470.7636,1
470.7637,1
470.7638,1
470.7639,1
470.764,1
470.7641,1
470.7642,1
470.7643,1
470.7644,1
470.7645,1
470.7646,1
470.7647,1
470.763,1
470.7648,1
470.7629,1
470.7627,1
470.7609,1
470.761,1
470.7611,1
470.7612,1
470.7613,1
470.7614,1
470.7615,1
470.7616,1
470.7617,1
470.7618,1
470.7619,1
470.7621,1
470.7622,1
470.7623,1
470.7624,1
470.7625,1
470.7626,1
470.7628,1
470.7649,1
470.7651,1
470.7652,1
470.7678,1
470.7679,1
470.768,1
470.7681,1
470.7682,1
470.7683,1
470.7684,1
470.7685,1
470.7686,1
470.7687,1
470.7688,1
470.7689,1
470.769,1
470.7691,1
470.7692,1
470.7693,1
470.7694,1
470.7677,1
470.7675,1
470.7674,1
470.7673,1
470.7653,1
470.7654,1
470.7655,1
470.7656,1
470.7657,1
470.7658,1
470.7659,1
470.766,1
470.7608,1
470.7661,1
470.7664,1
470.7665,1
470.7666,1
470.7667,1
470.7669,1
470.767,1
470.7671,1
470.7672,1
470.7662,1
470.7606,1
470.7604,1
470.7603,1
470.7518,1
470.7519,1
470.752,1
470.7521,1
470.7522,1
470.7523,1
470.7524,1
470.7525,1
470.7526,1
470.7695,1
470.7558,1
470.756,1
470.7585,1
470.7586,1
470.7587,1
470.7588,1
470.7589,1
470.759,1
470.7591,1
470.7592,1
470.7593,1
