genome_id,SIR
470.6212,1
470.6213,1
470.6214,1
470.6215,1
470.6216,1
470.6217,1
470.6218,1
470.6211,0
470.6219,1
470.6221,1
470.6222,1
470.6223,1
470.6224,1
470.6225,1
470.6226,1
470.6227,1
470.622,1
470.621,1
470.6209,1
470.6208,1
470.6188,1
470.6189,1
470.619,1
470.6191,0
470.6193,1
470.6196,1
470.6197,1
470.6198,1
470.6199,1
470.62,1
470.6201,1
470.6202,1
470.6203,1
470.6204,1
470.6205,0
470.6206,1
470.6207,1
470.6228,1
470.6229,1
470.6232,1
470.6233,1
470.7338,1
470.7339,1
470.734,1
470.7341,1
470.7342,1
470.7343,1
470.7344,1
470.7345,1
470.7346,1
470.7347,1
470.6187,1
470.6234,1
470.6235,1
470.6236,1
470.6237,1
470.6238,1
470.6239,1
470.624,1
470.6241,1
470.6242,1
470.6243,1
470.6244,1
470.6245,1
470.6246,1
470.7348,1
470.6186,1
470.6184,1
470.4701,1
470.4702,1
470.4704,1
470.4785,1
470.4786,1
470.4881,1
470.4901,1
470.541,1
470.5421,1
470.4748,1
470.617,1
470.6171,1
470.6172,1
470.6173,1
470.6174,1
470.6175,1
470.6176,1
470.6177,1
470.6178,1
470.6179,0
470.618,0
470.6181,0
470.6182,1
470.6183,1
470.6185,1
470.592,0
470.595,0
470.598,0
470.7349,1
470.7454,0
470.7456,0
470.7457,0
470.7458,0
470.7459,0
470.746,1
470.7453,0
470.7461,0
470.7463,1
470.7464,1
470.7465,0
470.7466,0
470.7467,0
470.7468,0
470.7469,0
470.7462,1
470.7452,0
470.7451,0
470.745,0
470.7435,0
470.7436,1
470.7437,1
470.7438,0
470.7439,0
470.744,0
470.7441,1
470.7442,0
470.7443,1
470.7444,0
470.7445,0
470.7446,0
470.7447,0
470.7448,0
470.7449,1
470.747,0
470.7471,0
470.7472,0
470.7473,0
470.7495,0
470.7496,0
470.7497,0
470.7498,0
470.7499,0
470.75,0
470.7501,1
470.7502,1
470.7503,0
470.7504,0
470.7505,0
470.7506,0
470.7507,0
470.7508,0
470.7509,0
470.7511,1
470.7512,0
470.7494,0
470.7434,0
470.7493,0
470.7491,0
470.7474,0
470.7475,0
470.7476,0
470.7477,0
470.7478,0
470.7479,0
470.748,0
470.7481,0
470.7482,0
470.7483,0
470.7484,0
470.7485,1
470.7486,0
470.7487,0
470.7488,0
470.7489,0
470.749,0
470.7492,0
470.735,1
470.7433,0
470.7431,0
470.7375,1
470.7376,1
470.7377,1
470.7378,1
470.7379,1
470.7381,1
470.7382,1
470.7383,1
470.7384,1
470.7385,1
470.7386,1
470.7387,1
470.738,0
470.7388,1
470.7389,1
470.739,1
470.7413,1
470.7417,0
470.7418,1
470.7419,0
470.742,0
470.7421,0
470.7423,1
470.7424,1
470.7425,1
470.7426,1
470.7427,0
470.7428,0
470.7429,0
470.743,0
470.7412,1
470.7432,1
470.7411,1
470.7409,1
470.7391,1
470.7394,1
470.7395,1
470.7396,1
470.7397,1
470.7398,1
470.7399,1
470.74,0
470.7401,1
470.7402,1
470.7403,1
470.7404,1
470.7405,1
470.7406,1
470.7407,1
470.7408,1
470.741,1
470.7514,0
1409926.6,1
470.1558,0
470.156,1
470.1561,1
470.1562,1
470.1563,1
470.1564,1
470.1557,0
470.1565,1
470.1745,1
470.1749,1
470.1556,0
470.1555,0
470.1554,1
470.1359,0
470.1548,0
470.1549,0
470.155,0
470.1551,0
470.1552,0
470.1553,1
470.1752,1
470.2843,1
470.2844,1
470.2845,1
470.2846,1
470.2847,1
470.3765,0
470.2166,1
470.1756,1
1439317.3,0
405416.6,1
470.7515,1
470.7374,1
470.7517,0
470.7975,0
470.7979,0
470.7982,1
470.7984,1
470.7965,1
470.7949,0
470.7954,1
470.796,0
470.7962,1
470.8017,1
470.802,0
470.8024,1
470.8008,1
470.7991,1
470.7516,0
470.8007,1
470.7946,1
470.7884,1
470.7901,1
470.7883,1
470.7866,0
470.7867,0
470.7869,1
470.7871,1
470.7875,1
470.7928,0
470.7933,1
470.7936,1
470.7918,1
470.792,1
470.8031,1
470.8099,1
470.81,1
470.8101,1
470.8102,1
470.8104,1
470.8105,1
1116234.3,1
470.8106,1
470.8107,1
470.8103,1
903913.3,0
903905.3,1
903906.3,1
470.8108,1
470.8112,1
470.8113,1
470.8114,0
480119.5,1
509173.8,0
470.8127,0
470.8116,0
470.8117,0
470.8118,0
470.812,0
470.8121,0
470.8122,0
470.8123,0
470.8124,0
470.8125,0
470.8126,0
470.8062,0
470.8063,0
470.8064,0
470.8065,1
470.8066,0
470.8067,0
470.8068,1
470.8061,0
470.8041,1
470.8047,1
470.8069,0
470.807,0
470.8071,1
470.8072,1
470.8095,1
470.8096,1
470.8097,1
470.8098,1
470.8094,1
470.8093,1
470.8091,1
470.8074,1
470.8075,1
470.8076,1
470.8077,1
470.8078,1
470.8079,0
470.808,1
470.8081,0
470.8082,1
470.8083,1
470.8084,0
470.8085,0
470.8086,0
470.8087,1
470.8088,1
470.8089,1
470.809,1
470.8092,1
470.7862,0
470.786,1
470.754,0
470.7541,0
470.7542,0
470.7543,0
470.7544,0
470.7545,0
470.7546,0
470.7547,0
470.7548,0
470.7549,0
470.755,0
470.7551,1
470.7552,0
470.7553,0
470.7554,0
470.7555,1
470.7556,0
470.7539,0
470.7538,0
470.7537,0
470.7536,1
470.7518,1
470.7519,0
470.752,1
470.7521,0
470.7522,0
470.7523,0
470.7524,0
470.7525,1
470.7557,0
470.7526,1
470.7528,0
470.7529,0
470.753,0
470.7531,0
470.7532,0
470.7533,0
470.7534,0
470.7535,0
470.7527,0
470.7558,0
470.756,0
470.7584,1
470.7583,0
470.7582,1
470.7581,1
470.7561,1
470.7564,0
470.7565,0
470.7566,0
470.7567,0
470.7568,0
470.7569,0
470.757,1
470.7559,0
470.7571,0
470.7573,1
470.7575,1
470.7576,0
470.7577,0
470.7578,1
470.758,0
470.7572,0
470.7861,0
470.7774,1
470.7773,0
470.7771,0
470.7768,0
470.7778,0
470.7837,1
470.7836,1
470.7834,1
470.7833,1
470.7832,1
470.7831,1
470.7828,1
470.7826,1
470.7824,0
470.7823,1
470.7822,1
470.7829,1
470.7857,1
470.7856,1
470.7855,0
470.7854,0
470.7852,1
470.7779,1
470.7849,1
470.7848,0
470.7847,1
470.7845,0
470.7843,1
470.782,0
470.785,1
470.7818,1
470.7797,1
470.7795,1
470.7794,1
470.7793,0
470.7792,1
470.7789,1
470.7788,0
470.7784,1
470.7782,1
470.7781,1
470.7819,0
470.7798,1
470.7799,0
470.7786,1
470.7817,1
470.78,1
470.7816,1
470.7813,0
470.7811,1
470.781,1
470.7808,1
470.7807,1
470.7806,1
470.7805,1
470.7809,1
