genome_id,SIR
470.6212,1
470.6213,0
470.6214,1
470.6215,1
470.6216,1
470.6217,1
470.6218,1
470.6211,0
470.6219,1
470.6221,0
470.6222,1
470.6223,1
470.6224,1
470.6225,0
470.6226,0
470.6227,1
470.622,1
470.621,1
470.6209,0
470.6208,0
470.6188,1
470.6189,0
470.619,0
470.6191,0
470.6193,0
470.6196,0
470.6197,0
470.6198,0
470.6199,1
470.62,1
470.6201,1
470.6202,0
470.6203,1
470.6204,1
470.6205,0
470.6206,1
470.6207,0
470.6228,1
470.6229,1
470.6232,1
470.6233,1
470.6187,0
470.6234,1
470.6235,1
470.6236,1
470.6237,0
470.6238,1
470.6239,1
470.624,1
470.6241,0
470.6242,1
470.6243,0
470.6244,1
470.6245,1
470.6246,1
470.6186,0
470.6184,1
470.559,1
470.574,1
470.602,1
470.604,1
470.617,0
470.6171,0
470.6172,0
470.6173,0
470.6174,1
470.6175,1
470.6176,1
470.6177,0
470.6178,1
470.6179,0
470.618,0
470.6181,0
470.6182,0
470.6183,0
470.601,1
470.6185,0
470.6,1
470.597,1
470.577,1
470.579,1
470.581,1
470.584,1
470.587,1
470.589,1
470.59,1
470.591,1
470.594,1
470.7375,1
470.7376,1
470.7377,0
470.7378,1
470.7379,1
470.7381,0
470.7382,1
470.7383,1
470.7384,0
470.7385,0
470.7386,1
470.7387,0
470.738,1
470.7388,1
470.7389,1
470.739,1
470.7413,0
470.7412,0
470.7411,0
470.7409,1
470.7391,1
470.7394,1
470.7395,1
470.7396,0
470.7397,1
470.7398,1
470.7399,0
470.74,1
470.7401,1
470.7402,1
470.7403,1
470.7404,1
470.7405,0
470.7406,0
470.7407,1
470.7408,1
470.741,1
470.3771,1
470.377,1
470.2905,1
470.3764,1
470.3766,1
470.1309,1
470.1304,1
470.1305,1
470.1306,1
470.1307,1
470.1308,1
470.7374,1
