genome_id,SIR
195.2047,1
195.2058,1
195.2057,1
195.2056,1
195.2055,1
195.2052,0
195.2053,1
195.2051,0
195.2049,1
195.2059,1
195.2048,1
195.2054,1
195.206,1
195.207,1
195.2063,1
195.2064,0
195.2065,1
195.2066,0
195.2067,1
195.2069,1
195.2071,1
195.2072,1
195.2074,1
195.208,1
195.2082,1
195.2046,1
195.2083,1
195.2061,0
195.2045,1
195.2025,0
195.2043,0
195.2084,1
195.2678,1
195.2676,1
195.2673,1
195.2672,1
195.2671,1
195.267,1
195.2669,1
195.2668,1
195.2667,1
195.2024,0
195.2026,1
195.2027,1
195.2044,1
195.2028,1
195.203,0
195.2031,1
195.2032,1
195.2033,1
195.2034,0
195.2035,1
195.2036,1
195.2037,1
195.2038,1
195.2039,0
195.204,1
195.2041,0
195.2042,1
195.2029,1
195.2666,1
195.2085,1
195.2087,1
195.224,1
195.2241,0
195.2242,1
195.2243,1
195.2244,0
195.2245,1
195.2246,1
195.2247,1
195.2248,1
195.2249,1
195.225,1
195.2251,1
195.2252,1
195.2253,0
195.2254,1
195.2255,0
195.2256,1
195.2257,0
195.2258,1
195.2259,0
195.226,0
195.2261,1
195.2262,0
195.2239,1
195.2238,0
195.2237,1
195.2236,0
195.2211,0
195.2212,1
195.2213,1
195.2214,1
195.2216,0
195.2217,0
195.2218,1
195.2219,1
195.222,1
195.2221,0
195.2222,0
195.2263,1
195.2223,1
195.2225,1
195.2226,1
195.2227,0
195.2228,1
195.2229,1
195.223,1
195.2231,1
195.2232,1
195.2233,1
195.2234,1
195.2235,0
195.2224,1
195.221,0
195.2264,1
195.2266,1
195.2297,1
195.2299,1
195.23,1
195.2301,0
195.2302,0
195.2303,0
195.2304,1
195.2305,1
195.2306,1
195.2307,1
195.2308,1
195.2309,1
195.231,0
195.2311,0
195.2312,0
195.2313,0
195.2314,0
195.2315,1
195.2316,1
195.2317,1
195.2663,1
195.2664,1
195.2665,1
195.2296,1
195.2295,1
195.2294,1
195.2293,1
195.2267,1
195.2268,1
195.2269,0
195.227,1
195.2271,1
195.2272,1
195.2273,0
195.2276,1
195.2277,1
195.2278,1
195.2279,1
195.2265,1
195.228,1
195.2282,1
195.2283,1
195.2284,1
195.2285,1
195.2286,0
195.2287,1
195.2288,0
195.2289,1
195.229,1
195.2291,1
195.2292,0
195.2281,1
195.2209,1
195.2208,1
195.2207,1
195.2119,1
195.212,1
195.2121,1
195.2122,0
195.2123,1
195.2124,0
195.2125,0
195.2126,1
195.2127,1
195.2128,1
195.2129,1
195.213,0
195.2131,1
195.2132,0
195.2133,1
195.2134,1
195.2135,1
195.2136,1
195.2137,1
195.2138,1
195.2139,1
195.214,0
195.2141,1
195.2118,0
195.2117,1
195.2116,1
195.2115,1
195.2089,1
195.209,1
195.2092,0
195.2093,1
195.2094,1
195.2095,1
195.2096,1
195.2097,1
195.2098,1
195.2099,1
195.21,1
195.2142,1
195.2101,1
195.2104,1
195.2105,1
195.2106,0
195.2107,1
195.2108,0
195.2109,0
195.211,0
195.2111,1
195.2112,0
195.2113,1
195.2114,1
195.2102,1
195.2143,1
195.2144,1
195.2145,1
195.2179,1
195.218,0
195.2182,1
195.2184,1
195.2185,0
195.2186,1
195.2188,1
195.2189,1
195.2191,0
195.2192,0
195.2193,1
195.2176,1
195.2194,0
195.2196,1
195.2197,1
195.2198,1
195.2199,1
195.22,0
195.2201,0
195.2202,0
195.2203,0
195.2204,1
195.2205,1
195.2206,1
195.2195,1
195.2086,1
195.2175,1
195.2173,1
195.2146,1
195.2147,0
195.2148,1
195.215,0
195.2151,0
195.2152,1
195.2153,1
195.2154,0
195.2155,1
195.2156,1
195.2157,0
195.2174,1
195.2158,0
195.216,1
195.2161,1
195.2162,1
195.2163,1
195.2164,1
195.2165,0
195.2166,1
195.2169,0
195.217,1
195.2171,0
195.2172,0
195.2159,1
195.2178,0
195.2298,1
