genome_id,SIR
550.2132,0
550.2133,1
550.2131,1
550.2135,1
550.2134,0
550.213,1
550.2128,0
550.2127,1
550.2126,1
550.2136,1
550.2129,1
550.2137,0
550.2151,0
550.2139,0
550.2148,0
550.2149,0
550.215,0
550.2152,1
550.2153,0
550.2138,1
550.2147,0
550.2145,0
550.2144,0
550.2143,0
550.2142,1
550.2141,1
550.214,0
550.2146,0
550.1525,0
550.2154,1
550.1074,1
550.1113,0
550.1141,1
550.1142,1
550.1144,0
550.1145,1
550.1526,0
550.1528,1
550.155,1
550.1668,0
550.1647,1
550.1584,1
550.1581,1
550.1579,1
550.2155,0
550.314,1
550.2157,1
550.316,1
550.312,1
550.308,1
550.307,1
550.317,1
550.302,1
550.301,1
550.294,1
550.32,1
550.2156,1
550.33,1
550.2162,1
550.2161,1
550.216,1
550.2159,0
550.291,1
550.2158,1
550.283,1
550.289,1
