genome_id,SIR
550.2132,0
550.2133,1
550.2123,1
550.2131,1
550.2135,1
550.2134,0
550.213,0
550.2124,1
550.2128,0
550.2127,1
550.212,0
550.2126,1
550.2136,0
550.2129,0
550.2137,0
550.2151,0
550.2139,0
550.2148,0
550.2119,0
550.2149,0
550.215,1
550.2152,1
550.2153,0
550.2138,0
550.2147,0
550.2145,0
550.2144,0
550.2143,0
550.2142,1
550.2141,1
550.214,1
550.2146,0
550.2118,0
550.1525,0
550.2116,0
550.2154,1
550.1074,1
550.1113,0
550.1141,1
550.1142,1
550.1144,0
550.1145,1
550.1526,0
550.1528,1
550.153,1
550.2115,0
550.2114,0
550.2113,0
550.2111,0
550.211,1
550.2108,0
550.2117,0
550.2107,0
550.1668,0
550.1647,1
550.1584,1
550.1581,1
550.1579,1
550.1577,1
550.2106,0
550.2155,0
550.2157,1
550.2156,0
550.33,1
550.324,1
550.2662,1
550.2658,1
550.2651,1
550.2162,1
550.2161,1
550.216,1
550.2159,0
550.291,1
550.2158,1
550.2674,1
550.285,1
550.284,1
550.2685,1
