genome_id,SIR
562.58651,0
562.5865,0
562.58649,1
562.58623,0
562.58625,1
562.58626,1
562.58627,1
562.58628,0
562.5863,1
562.58631,1
562.58633,1
562.58634,1
562.58635,1
562.5864,0
562.58646,0
562.58647,0
562.58648,1
562.17722,1
562.17721,1
562.17621,1
562.12959,1
562.1296,1
562.16324,1
562.16325,1
562.16326,1
562.16327,1
562.16466,1
562.1762,1
562.19631,1
562.19632,1
562.19633,1
562.19821,1
562.19823,1
562.20499,1
562.22426,1
562.45847,1
562.45846,1
562.45677,1
562.45676,0
562.45675,0
562.45674,0
562.45848,1
562.45673,1
562.45671,0
562.4567,1
562.45669,0
562.45668,0
562.45667,0
562.45666,0
562.45665,0
562.45672,0
562.45849,1
562.45851,1
562.4585,1
562.45964,1
562.45916,1
562.4591,1
562.45853,1
562.45852,1
562.45664,0
562.45663,0
562.45662,1
562.30434,1
562.30362,1
562.30435,1
562.29008,1
562.29007,1
562.29006,1
562.29003,0
562.29139,1
562.31449,1
562.3145,1
562.31451,1
562.37108,1
562.37106,0
562.34089,1
562.34088,1
562.34086,1
562.34085,1
562.33281,1
562.3328,1
562.31466,1
562.31465,0
562.31464,0
562.31463,0
562.31462,0
562.3146,1
562.31458,1
562.31454,0
562.31452,1
562.28846,1
562.28845,1
562.28841,0
562.2884,0
562.28839,1
562.28838,1
562.28805,1
562.28567,1
562.28566,1
562.28565,1
562.28563,1
562.28435,1
562.28434,1
562.28389,0
562.37109,0
562.42634,1
562.42841,1
562.4284,1
562.42839,1
562.42838,1
562.42837,1
562.42836,1
562.42835,1
562.42834,1
562.42833,1
562.42832,1
562.42831,1
562.4283,1
562.42829,1
562.42828,1
562.42827,1
562.42826,1
562.42825,1
562.42824,1
562.42823,1
562.42842,1
562.42822,1
562.42843,1
562.42845,0
562.42865,1
562.42863,1
562.42862,1
562.42861,1
562.4286,1
562.42859,1
562.42858,0
562.42857,1
562.42856,1
562.42855,1
562.42854,1
562.42853,1
562.42852,1
562.42851,1
562.4285,1
562.42849,1
562.42848,1
562.42847,1
562.42846,1
562.42844,0
562.42867,1
562.42821,1
562.42819,1
562.42792,1
562.42791,1
562.4279,0
562.42789,1
562.42788,1
562.42787,1
562.42786,1
562.42785,1
562.42784,1
562.42783,1
562.42782,1
562.42781,1
562.4278,1
562.42635,1
562.42778,1
562.42777,1
562.42776,1
562.42775,1
562.42774,1
562.42794,1
562.4282,1
562.42796,1
562.42799,1
562.42818,1
562.42817,1
562.42816,1
562.42815,1
562.42814,1
562.42813,1
562.42812,1
562.42811,1
562.4281,1
562.42809,1
562.42808,1
562.42807,1
562.42806,1
562.42805,1
562.42804,1
562.42803,1
562.42802,1
562.42801,1
562.428,1
562.42797,1
562.42868,1
562.42869,1
562.4287,1
562.45638,0
562.45637,0
562.45636,1
562.45635,0
562.45634,1
562.45633,0
562.45632,0
562.45631,1
562.4563,0
562.45629,1
562.45628,1
562.45627,0
562.45626,1
562.45625,0
562.45624,0
562.45623,0
562.45622,0
562.45621,1
562.4562,1
562.45639,1
562.45619,0
562.4564,1
562.45642,0
562.45661,0
562.4566,1
562.45659,1
562.45658,1
562.45657,1
562.45656,1
562.45655,1
562.45654,0
562.45653,0
562.45652,0
562.45651,0
562.4565,0
562.45649,1
562.45648,0
562.45647,1
562.45646,1
562.45645,1
562.45644,1
562.45643,0
562.45641,0
562.45618,1
562.45617,0
562.45616,1
562.45591,1
562.4559,0
562.45589,1
562.45588,1
562.45587,1
562.45585,0
562.42873,1
562.42872,1
562.42871,1
562.45592,1
562.45593,0
562.45594,0
562.45595,1
562.45615,1
562.45614,0
562.45613,0
562.45612,0
562.45611,0
562.4561,0
562.45609,1
562.45608,0
562.45607,1
562.42773,1
562.45606,0
562.45604,0
562.45603,0
562.45602,1
562.45601,0
562.456,0
562.45599,1
562.45598,0
562.45597,0
562.45596,0
562.45605,1
562.42772,1
562.42779,1
562.4277,1
562.42691,0
562.4269,0
562.42689,0
562.42688,1
562.42686,1
562.4268,1
562.42677,1
562.42694,1
562.42713,1
562.42712,1
562.4271,1
562.42707,1
562.42706,1
562.42771,1
562.42704,1
562.42703,1
562.427,1
562.42715,1
562.42664,1
562.42663,1
562.42662,1
562.42659,1
562.42658,1
562.42716,1
562.4275,1
562.42748,1
562.42747,1
562.42745,1
562.42743,1
562.42742,1
562.42741,1
562.42752,0
562.4274,1
562.42738,1
562.42737,1
562.42736,1
562.42735,1
562.42733,1
562.42732,1
562.4273,1
562.42729,1
562.42717,1
562.42739,1
562.42746,1
562.42727,1
562.42769,1
562.42767,1
562.42766,1
562.42765,1
562.42764,1
562.42728,1
562.42762,0
562.42761,1
562.42756,1
562.42763,1
562.42755,1
562.42718,1
562.4272,1
562.42723,1
562.42725,1
562.42726,1
