genome_id,SIR
562.58737,1
562.58738,1
562.58739,1
562.5874,1
562.58736,1
562.58735,0
562.58734,1
562.58732,1
562.58716,1
562.58717,0
562.58718,1
562.58719,1
562.5872,1
562.58721,1
562.58722,1
562.58723,1
562.58725,1
562.58726,1
562.58727,1
562.58728,1
562.58729,1
562.5873,1
562.58731,1
562.58714,0
562.58713,1
562.58712,1
562.58711,0
562.58704,1
562.58705,1
562.58706,0
562.58707,1
562.58709,1
562.5871,1
562.7632,1
562.7633,1
562.7634,1
562.7635,1
562.7636,0
562.7637,1
562.7638,0
562.7631,0
562.7639,0
562.7642,0
562.7643,1
562.7644,1
562.7645,1
562.7646,0
562.7647,0
562.7648,1
562.764,0
562.7649,1
562.7629,0
562.7626,1
562.7575,1
562.7576,1
562.7577,1
562.7578,0
562.7579,0
562.758,0
562.7581,1
562.7628,1
562.7582,1
562.7584,1
562.7617,1
562.7618,0
562.7619,0
562.7623,0
562.7624,1
562.7625,1
562.7583,1
562.7573,1
562.765,0
562.7653,1
562.7678,1
562.7679,1
562.768,0
562.7681,1
562.7682,1
562.7684,0
562.7686,1
562.7677,0
562.7687,0
562.7689,1
562.769,0
562.7691,1
562.7693,1
562.7695,0
562.7696,1
562.7697,1
562.7688,1
562.7652,0
562.7674,1
562.7672,1
562.7655,1
562.7656,0
562.7657,1
562.7658,0
562.7659,0
562.766,0
562.7661,1
562.7673,1
562.7662,1
562.7664,1
562.7665,1
562.7666,1
562.7668,1
562.7669,0
562.767,1
562.7671,1
562.7663,1
562.7698,0
562.7572,0
562.757,0
562.7571,1
562.7565,1
562.7566,1
562.7567,1
562.7568,0
562.7699,1
562.7701,1
562.77,1
562.7726,1
562.7727,1
562.7728,0
562.773,1
562.7731,1
562.7732,0
562.7734,1
562.7725,1
562.7735,1
562.7738,0
562.774,1
562.7741,0
562.7742,0
562.7743,1
562.7744,1
562.7745,1
562.7737,1
562.7746,1
562.7724,1
562.7722,1
562.7702,0
562.7703,1
562.7704,1
562.7705,1
562.7706,0
562.7707,1
562.7709,0
562.7723,1
562.771,1
562.7713,0
562.7714,1
562.7717,1
562.7718,0
562.7719,0
562.772,1
562.7721,1
562.7712,1
562.7747,0
562.775,1
562.778,1
562.7781,0
562.7782,1
562.7783,0
562.7784,1
562.7785,0
562.7786,1
562.7779,1
562.7788,0
562.779,1
562.7791,1
562.7792,1
562.7793,0
562.7794,1
562.7789,0
562.7749,1
562.7778,1
562.7775,1
562.7752,1
562.7753,1
562.7754,1
562.7755,0
562.7757,1
562.7758,1
562.7759,0
562.7777,1
562.776,1
562.7762,0
562.7765,0
562.7766,0
562.7767,1
562.7769,1
562.7771,0
562.7772,0
562.7761,0
