genome_id,SIR
573.5828,0
573.5827,1
573.5826,1
573.5825,1
573.5824,1
573.581,1
573.5811,1
573.5812,1
573.5813,1
573.5814,1
573.5815,1
573.5816,1
573.5818,1
573.5819,1
573.582,1
573.5821,1
573.5822,1
573.5823,1
573.5817,1
573.5809,1
573.5808,1
573.5806,1
573.571,1
573.5709,1
573.5707,1
573.5706,1
573.5705,1
573.5702,1
573.5701,1
573.57,1
573.5698,1
573.5697,1
573.5695,1
573.5694,1
573.5692,1
573.5691,1
573.569,1
573.5687,1
573.5684,1
573.5658,1
573.5661,1
573.5663,1
573.5665,1
573.5672,1
573.5711,1
573.5673,1
573.5677,1
573.5678,1
573.5679,1
573.5681,1
573.5682,1
573.5683,1
573.5676,1
573.5807,1
573.5712,1
573.5717,1
573.5805,1
573.5804,1
573.5803,1
573.5802,1
573.5801,1
573.58,1
573.5799,1
573.5798,1
573.5797,1
573.5796,1
573.5795,1
573.5794,1
573.5793,1
573.5719,1
573.5722,1
573.5724,1
573.5726,1
573.5716,1
573.7096,1
