genome_id,SIR
1128954.3,0
1094171.3,1
573.1484,1
573.14841,1
573.14973,0
573.15057,1
573.14804,1
573.1479,1
573.15233,1
573.15239,1
573.14769,1
72407.694,1
72407.688,1
72407.27,0
72407.635,1
72407.636,1
72407.674,1
72407.675,1
72407.676,1
72407.652,1
72407.659,1
72407.663,1
573.27327,1
573.29595,0
573.29596,0
573.29605,0
573.29608,0
573.2963,1
573.25665,0
573.24442,0
573.24444,0
573.25569,0
573.25927,0
573.32279,1
573.24314,0
573.2439,0
573.24405,0
573.24379,0
573.24372,0
573.24245,0
573.22562,0
573.22563,0
573.22564,0
573.22565,0
573.22566,1
573.22567,0
573.22568,0
573.2429,0
573.24253,0
573.24257,0
573.24258,1
573.22561,0
573.24267,0
573.2256,0
573.22558,0
573.1868,0
573.22555,0
573.22556,0
573.22557,0
573.18086,0
573.1723,0
573.1725,0
573.22559,0
573.17914,0
573.17915,0
72407.228,0
573.5638,1
573.5636,1
573.5624,1
573.5623,1
573.5644,1
573.5645,1
573.5647,1
573.7026,0
573.5646,1
573.5649,0
573.5789,0
573.5781,1
573.578,1
573.5779,1
573.5763,1
573.5764,1
573.5765,0
573.5767,1
573.5768,1
573.5769,1
573.577,1
573.5777,1
573.5778,0
573.5766,1
573.9724,0
573.12783,0
72407.215,0
