genome_id,SIR
573.3106,1
573.31061,1
573.31063,0
573.31065,1
573.31066,1
573.31067,0
573.31068,1
573.31069,1
573.31071,0
573.31072,0
573.31077,1
573.31073,1
573.31078,0
573.31079,0
573.31081,0
573.31082,0
573.31083,1
573.31084,0
573.23213,1
573.23215,1
573.23216,1
573.23217,1
573.23218,0
573.23219,0
573.2322,0
573.23221,1
573.23222,1
573.23223,0
573.23224,1
573.23225,1
573.23228,0
573.23229,0
573.23212,1
573.23211,1
573.23209,1
573.23196,0
573.23197,1
573.23198,1
573.23199,1
573.232,1
573.23201,0
573.23203,1
573.23204,0
573.23205,0
573.23206,0
573.23207,1
573.23208,1
573.2321,1
573.23214,0
