genome_id,SIR
573.25569,1
573.23213,1
573.23215,0
573.23216,1
573.23217,1
573.23218,0
573.23219,0
573.2322,0
573.23221,0
573.23222,1
573.23223,0
573.23224,0
573.23225,0
573.23228,1
573.23229,1
573.23212,0
573.23211,1
573.23209,0
573.23196,0
573.23197,0
573.23198,0
573.23199,1
573.232,0
573.23201,1
573.23203,0
573.23204,1
573.23205,0
573.23206,0
573.23207,0
573.23208,0
573.2321,0
573.23214,1
573.5638,1
573.5636,1
573.5624,1
573.5623,1
573.5644,1
573.5645,1
573.5647,1
573.5646,1
573.5781,1
573.578,1
573.5779,1
573.5763,1
573.5764,1
573.5765,1
573.5767,1
573.5768,1
573.5769,1
573.577,1
573.5777,1
573.5778,1
573.5766,1
