genome_id,SIR
1400173.3,0
1400172.3,1
1400170.3,1
1400169.3,1
1400168.3,1
1400167.3,0
1400162.3,1
1400165.3,1
1400164.3,1
1400163.3,1
1400174.3,1
1400175.3,1
1438811.3,1
1438697.3,1
1400177.3,1
1400178.3,1
1400179.3,1
1400180.3,1
1400181.3,1
1400182.3,1
1400183.3,1
1400184.3,1
1400185.3,1
1438810.3,1
1438809.3,1
1438808.3,1
1438806.3,1
1438805.3,1
1438804.3,1
1438803.3,0
1438802.3,1
1438800.3,1
1438797.3,0
1438795.3,1
1438794.3,1
1438793.3,0
1438789.3,0
1438787.3,0
1438784.3,1
1438783.3,1
1438782.3,1
1400176.3,0
1438807.3,1
573.14386,1
573.14389,1
573.1439,1
573.14392,1
573.14395,1
573.14396,1
573.14397,1
573.14398,1
573.14403,1
573.14404,0
573.14383,1
573.14361,1
573.14364,1
573.14367,1
573.14368,1
573.14369,0
573.14374,1
573.14375,1
573.14376,1
573.14378,1
573.14434,1
573.14435,1
573.14436,1
573.14437,1
573.14438,1
573.14443,1
573.14445,0
573.14446,1
573.14447,1
573.14448,0
573.14449,1
573.14452,1
573.14454,1
573.14433,1
573.14407,1
573.1443,1
573.14409,1
573.1441,0
573.14411,1
573.14413,1
573.14417,1
573.14421,1
573.14422,1
573.14424,1
573.14425,1
573.14427,0
573.14359,1
573.14358,1
573.1429,1
573.14294,1
573.14297,1
573.14298,1
573.14299,1
573.143,1
573.14302,1
573.14303,1
573.14305,1
573.14306,1
573.14308,1
573.14287,0
573.14268,1
573.14269,1
573.14271,1
573.14272,1
573.14273,1
573.14274,1
573.14275,1
573.14276,1
573.14277,1
573.14278,1
573.14279,1
573.1428,1
573.14281,1
573.14309,1
573.1434,1
573.14341,1
573.14345,1
573.14347,1
573.14352,1
573.14355,1
573.14356,1
573.14337,1
573.14336,1
573.14327,1
573.14329,1
573.14332,1
573.14323,1
573.14458,1
573.1455,1
573.14484,1
573.14485,1
573.14486,1
573.14488,1
573.14489,1
573.14491,1
573.14492,1
573.14494,1
573.14495,0
573.145,1
573.14483,1
573.14503,1
573.14482,1
573.1448,1
573.14459,1
573.14461,1
573.14464,1
573.14465,1
573.14466,1
573.14467,1
573.14468,1
573.14469,1
573.14473,1
573.14477,1
573.14478,1
573.14481,1
573.14505,0
573.14506,1
573.14531,1
573.14534,1
573.14535,1
573.14536,1
573.14538,1
573.14539,1
573.1454,1
573.14541,1
573.14542,1
573.14543,1
573.14545,1
573.1453,1
573.14528,1
573.14507,1
573.14511,1
573.14512,1
573.14513,1
573.14516,1
573.14518,1
573.14519,1
573.1452,1
573.14522,1
573.14525,1
573.14526,1
573.14008,1
573.1401,1
573.14011,1
573.14013,1
573.14014,1
573.14015,1
573.14024,1
573.14026,1
573.14027,1
573.14007,1
573.14004,1
573.13995,0
573.13996,0
573.13997,1
573.13999,1
573.14001,1
573.14003,1
573.14032,0
573.14059,1
573.14061,1
573.14062,1
573.14063,1
573.14066,1
573.14067,1
573.14068,1
573.14072,1
573.14073,1
573.14036,1
573.14041,1
573.14043,1
573.14044,1
573.14045,1
573.14047,1
573.14048,1
573.14075,1
573.14263,1
573.14201,1
573.14202,1
573.14205,1
573.14211,1
573.14212,1
573.14179,1
573.14183,1
573.14185,1
573.14186,1
573.14188,1
573.14192,1
573.14217,1
573.14243,1
573.14244,1
573.14246,1
573.14247,1
573.14248,1
573.14251,1
573.14252,1
573.14256,1
573.14258,1
573.14261,1
573.14242,1
573.14241,1
573.1422,1
573.14221,1
573.14224,1
573.14227,1
573.14228,1
573.14229,0
573.1423,1
573.14232,1
573.14234,1
573.14236,1
573.14237,1
573.14102,1
573.14103,1
573.14104,1
573.14106,1
573.14107,1
573.14108,1
573.1411,1
573.14111,1
573.14112,1
573.14113,1
573.14115,1
573.14116,1
573.14117,1
573.14101,1
573.14121,1
573.14084,1
573.14085,1
573.14092,1
573.14094,0
573.14095,1
573.14099,1
573.14122,1
573.14123,1
573.14124,1
573.14152,1
573.14154,1
573.14158,1
573.14159,1
573.14163,1
573.14164,1
573.14166,1
573.14168,1
573.14149,1
573.14148,1
573.14147,1
573.14127,1
573.14128,1
573.14129,1
573.1413,1
573.14131,1
573.14132,1
573.14133,1
573.14134,1
573.14136,1
573.14137,1
573.14138,1
573.14139,1
573.1414,1
573.14142,1
573.14143,1
573.14144,1
573.14135,1
573.24323,1
573.24324,1
573.24325,1
573.24322,1
573.24321,1
573.24319,1
573.243,0
573.24311,1
573.24312,1
573.24317,1
573.24298,0
573.24296,0
573.15608,0
573.15609,1
573.1561,1
573.15611,1
573.15612,0
573.15613,1
573.15614,1
573.15615,1
573.15616,1
573.15617,0
573.15618,1
573.15619,0
573.1562,0
573.15621,0
573.15622,1
573.15623,1
573.15624,1
573.15626,1
573.15627,0
573.15607,1
573.15628,0
573.15606,1
573.15603,1
573.15584,1
573.15585,1
573.15586,1
573.15587,1
573.15588,1
573.15589,1
573.1559,0
573.15591,1
573.15592,1
573.15593,1
573.15594,0
573.15595,1
573.15596,1
573.15597,1
573.15598,1
573.15599,1
573.156,0
573.15601,1
573.15602,1
573.15605,1
573.15583,1
573.15629,1
573.15582,0
573.15581,1
573.1558,1
573.15511,1
573.15512,1
573.15513,1
573.15514,0
573.15515,1
573.15516,1
573.15517,1
573.15518,1
573.15519,1
573.1552,1
573.15521,1
573.15522,1
573.15523,1
573.15524,0
573.15525,1
573.15526,1
573.15527,0
573.15528,0
573.15529,0
573.1553,1
573.15531,1
573.15559,0
573.1556,1
573.15561,0
573.15562,1
573.15563,0
573.15564,0
573.15565,0
573.15566,0
573.15567,1
573.15568,1
573.15569,1
573.15571,0
573.15572,1
573.15573,1
573.15574,1
573.15575,1
573.15576,1
573.15577,1
573.15579,1
573.15558,1
573.15557,0
573.15556,1
573.15555,0
573.15533,1
573.15534,1
573.15535,0
573.15536,1
573.15537,0
573.15538,1
573.15539,1
573.1554,1
573.15541,1
573.15542,0
573.15544,0
573.15545,1
573.15546,1
573.15547,1
573.15548,0
573.1555,1
573.15552,1
573.15553,1
573.15554,0
573.15543,0
573.23213,1
573.23215,0
573.23216,1
573.23217,1
573.23218,1
573.23219,0
573.2322,0
573.23221,1
573.23222,1
573.23223,0
573.23224,0
573.23225,1
573.23228,1
573.23229,1
573.23212,0
573.23211,1
573.23209,0
573.22562,1
573.22563,1
573.22564,1
573.22565,1
573.22566,1
573.22567,1
573.22568,1
573.23196,1
573.23197,0
573.23198,0
573.23199,1
573.232,1
573.23201,1
573.23203,0
573.23204,1
573.23205,1
573.23206,1
573.23207,1
573.23208,0
573.2321,0
573.24275,1
573.24281,1
573.24282,1
573.24283,1
573.24284,1
573.24285,1
573.24286,1
573.24289,1
573.2429,1
573.24292,1
573.24293,1
573.24294,1
573.2427,0
573.24253,0
573.24255,1
573.22561,1
573.24262,1
573.24266,1
573.2256,1
573.22558,1
573.18472,1
573.22555,1
573.22556,1
573.22557,1
573.22559,1
573.23214,1
573.13493,1
573.13495,1
573.13499,1
573.135,1
573.13515,1
573.13512,1
573.13511,0
573.13504,1
573.13502,1
573.13516,1
573.13518,1
573.13703,1
573.13704,1
573.13705,1
573.13706,1
573.13707,1
573.13708,1
573.13713,1
573.13714,1
573.13715,1
573.13716,1
573.13726,0
573.13725,1
573.13698,1
573.13724,1
573.13719,1
573.13718,1
573.13717,1
573.13697,1
573.13666,1
573.13668,1
573.13671,1
573.13673,1
573.13675,1
573.13692,1
573.13691,1
573.1369,1
573.13689,1
573.13686,1
573.13685,1
573.13684,1
573.13683,1
573.13682,1
573.13663,0
573.13734,1
573.13773,1
573.13774,1
573.13775,1
573.13778,1
573.13779,1
573.1378,1
573.13784,1
573.13785,1
573.13806,1
573.13805,1
573.13771,1
573.138,1
573.13798,1
573.13796,1
573.13793,1
573.13792,1
573.1377,1
573.13768,1
573.13738,1
573.13739,1
573.13742,1
573.13744,1
573.13745,1
573.13746,1
573.13747,1
573.13748,1
573.13749,1
573.1375,1
573.13752,1
573.13753,1
573.13767,1
573.13764,1
573.13762,1
573.13769,1
573.13761,1
573.13758,1
573.13756,1
573.13755,1
573.13754,1
573.1376,1
573.13661,1
573.13659,1
573.13557,1
573.1356,1
573.13562,1
573.13564,1
573.13565,1
573.13566,1
573.13569,1
573.1357,1
573.13571,1
573.13584,1
573.13582,1
573.13581,1
573.13555,1
573.1358,1
573.13577,1
573.13575,1
