genome_id,SIR
573.22562,1
573.22563,1
573.22564,1
573.22565,1
573.22566,1
573.22567,0
573.22568,1
573.22561,1
573.2256,1
573.22558,0
573.18476,1
573.18477,0
573.18541,1
573.22557,0
573.5828,0
573.5827,1
573.5826,1
573.5825,1
573.5824,1
573.581,0
573.5811,1
573.5812,1
573.5813,0
573.5814,1
573.5815,1
573.5816,0
573.5818,1
573.5819,1
573.582,0
573.5821,1
573.5822,1
573.5823,1
573.5817,1
573.5809,0
573.5808,1
573.5806,1
573.571,1
573.5709,0
573.5707,0
573.5706,1
573.5705,1
573.5702,0
573.5701,1
573.57,1
573.5698,1
573.5697,1
573.5695,0
573.5694,0
573.5692,1
573.5691,1
573.569,1
573.5687,1
573.5684,1
573.5658,0
573.5661,1
573.5663,1
573.5665,1
573.5672,1
573.5711,0
573.5673,0
573.5677,1
573.5678,1
573.5679,1
573.5681,1
573.5682,1
573.5683,0
573.5676,1
573.5807,1
573.5712,0
573.5717,1
573.5805,1
573.5804,1
573.5803,1
573.5802,1
573.5801,0
573.58,1
573.5799,1
573.5798,1
573.5797,0
573.5796,1
573.5795,0
573.5794,1
573.5793,0
573.5719,1
573.5722,1
573.5724,0
573.5726,1
573.5716,1
573.7096,0
