genome_id,SIR
287.7853,1
287.12767,1
287.12766,1
287.12765,1
287.12764,1
287.12768,1
287.12769,1
287.12772,1
287.7688,0
287.7689,0
287.769,0
287.7691,1
287.7692,1
287.7693,0
287.7694,0
287.7695,0
287.7696,1
287.7697,0
287.7773,0
287.7774,0
287.7775,1
287.7776,1
287.7777,0
287.7778,0
287.7779,1
287.778,1
287.7782,1
287.7686,0
287.7685,0
287.7684,1
287.7683,1
287.6326,0
287.6327,0
287.6328,0
287.6329,1
287.633,1
287.6331,0
287.6492,1
287.767,0
287.7671,0
287.7783,1
287.7672,0
287.7674,0
287.7675,0
287.7676,0
287.7677,1
287.7678,1
287.7679,1
287.768,0
287.7681,0
287.7682,0
287.7673,0
287.5973,1
287.7784,0
287.7786,1
287.782,0
287.7821,0
287.7822,0
287.7823,1
287.7824,0
287.7825,0
287.7826,0
287.7827,0
287.7828,0
287.7829,0
287.783,0
287.7831,0
287.7832,0
287.7834,0
287.7835,0
287.7836,0
287.7837,0
287.7838,0
287.7839,0
287.7819,0
287.7818,0
287.7817,0
287.7816,0
287.7787,1
287.7788,0
287.7789,0
287.779,0
287.7791,1
287.7792,1
287.7794,1
287.7796,0
287.7797,0
287.7785,1
287.7798,1
287.7802,0
287.7803,0
287.7804,0
287.7805,0
287.7806,0
287.7807,0
287.7809,0
287.781,0
287.7814,1
287.7799,0
287.5972,0
287.5971,1
287.5969,0
287.298,1
287.2979,1
287.1482,0
287.2563,0
287.2972,1
287.2973,1
287.2975,1
287.2976,1
287.2977,1
287.2978,0
287.1477,1
287.5686,1
287.5687,1
287.5688,1
287.5689,1
287.569,1
287.5701,0
287.5702,0
287.5703,1
287.5704,1
287.5685,0
287.5746,1
287.5748,1
287.5749,1
287.575,1
287.5751,1
287.5752,1
287.5778,0
287.5955,0
287.5956,0
287.5959,1
287.5747,0
287.784,1
287.7841,0
287.7843,0
287.8875,1
287.8884,1
287.8491,1
287.8493,0
287.8494,1
287.8495,1
287.8497,1
287.8498,0
287.8499,1
287.85,1
287.8501,1
287.8502,0
287.8503,0
287.8506,1
287.8507,1
287.8509,1
287.8034,0
287.8033,0
287.8032,0
287.8031,0
287.7844,0
287.7845,0
287.7846,0
287.7847,0
287.7848,1
287.7849,0
287.7851,1
287.7852,0
287.7854,0
287.7856,0
287.7857,1
287.7858,0
287.786,1
287.7861,0
287.8027,0
287.8028,0
287.8029,0
287.803,0
287.7855,0
287.8514,1
287.8517,0
287.8518,0
287.8544,1
287.8545,1
287.8546,0
287.8547,0
287.8548,0
287.8549,0
287.855,1
287.8551,1
287.8543,0
287.7842,1
287.8542,1
287.854,1
287.852,1
287.8521,1
287.8522,1
287.8524,1
287.8525,1
287.8527,1
287.8528,1
287.8529,1
287.8541,0
287.8531,0
287.8533,1
287.8534,1
287.8535,0
287.8536,0
287.8537,0
287.8538,1
287.8539,0
287.853,0
