genome_id,SIR
287.7853,1
287.12767,1
287.12766,1
287.12765,1
287.12764,1
287.12768,1
287.12769,1
287.12771,1
287.1277,1
287.12772,1
287.7688,0
287.7689,0
287.769,0
287.7691,1
287.7692,1
287.7693,0
287.7694,0
287.7695,0
287.7696,1
287.7697,0
287.7773,1
287.7774,1
287.7775,1
287.7776,1
287.7777,1
287.7778,1
287.7779,1
287.778,1
287.7782,1
287.7686,0
287.7685,0
287.7684,1
287.7683,1
287.6326,1
287.6327,1
287.6328,1
287.6329,1
287.633,1
287.6331,1
287.6492,1
287.767,0
287.7671,0
287.7783,1
287.7672,0
287.7674,0
287.7675,0
287.7676,0
287.7677,1
287.7678,1
287.7679,1
287.768,0
287.7681,0
287.7682,0
287.7673,0
287.5973,1
287.7784,1
287.7786,0
287.782,1
287.7821,1
287.7822,0
287.7823,1
287.7824,1
287.7825,0
287.7826,0
287.7827,0
287.7828,0
287.7829,1
287.783,1
287.7831,1
287.7832,0
287.7834,0
287.7835,1
287.7836,0
287.7837,0
287.7838,1
287.7839,1
287.7819,0
287.7818,0
287.7817,1
287.7816,0
287.7787,1
287.7788,0
287.7789,1
287.779,1
287.7791,1
287.7792,1
287.7794,1
287.7796,0
287.7797,1
287.7785,1
287.7798,1
287.7802,0
287.7803,1
287.7804,1
287.7805,0
287.7806,1
287.7807,1
287.7809,0
287.781,0
287.7814,0
287.7799,1
287.5972,1
287.5971,1
287.5969,1
287.3108,1
287.3109,1
287.311,1
287.3111,1
287.3112,1
287.3113,1
287.3114,1
287.3115,1
287.3116,1
287.3117,1
287.3118,1
287.3119,1
287.312,1
287.3121,1
287.3122,1
287.3123,1
287.3124,1
287.3125,1
287.3126,1
287.3107,1
287.3106,1
287.298,1
287.2979,1
287.3128,1
287.1482,0
287.2972,1
287.2973,1
287.2975,1
287.2976,0
287.2977,1
287.2978,1
287.1477,1
287.3129,1
287.313,1
287.4054,0
287.5686,1
287.5687,1
287.5688,1
287.5689,1
287.569,1
287.5701,1
287.5702,1
287.5703,1
287.5704,1
287.5685,1
287.5746,1
287.5748,1
287.5749,1
287.575,1
287.5751,1
287.5752,1
287.5778,1
287.5955,1
287.5956,1
287.5959,1
287.5747,1
287.784,1
287.4078,0
287.4076,1
287.4055,1
287.4056,1
287.4057,1
287.4058,0
287.4059,1
287.406,1
287.4061,1
287.4063,1
287.4064,1
287.4077,1
287.4065,1
287.4067,1
287.4068,1
287.4069,1
287.407,0
287.4071,1
287.4072,1
287.4073,1
287.4074,0
287.4075,1
287.4066,1
287.7841,0
287.7843,1
287.8875,1
287.8884,1
287.8034,0
287.8033,1
287.8032,0
287.8031,1
287.7844,1
287.7845,0
287.7846,1
287.7847,0
287.7848,1
287.7849,1
287.7851,1
287.7852,1
287.7854,1
287.7856,0
287.7857,1
287.7858,0
287.786,1
287.7861,1
287.8027,0
287.8028,0
287.8029,0
287.803,0
287.7855,1
287.8514,1
287.8517,1
287.8518,0
287.8544,1
287.8545,1
287.8546,1
287.8547,1
287.8548,1
287.8549,1
287.855,1
287.8551,1
287.8543,1
287.7842,1
287.8542,0
287.854,0
287.852,1
287.8521,1
287.8522,1
287.8524,1
287.8525,1
287.8527,1
287.8528,1
287.8529,1
287.8541,0
287.8531,0
287.8533,1
287.8534,1
287.8535,1
287.8536,0
287.8537,0
287.8538,0
287.8539,0
287.853,0
