genome_id,SIR
287.7853,1
287.12767,1
287.12766,1
287.12765,1
287.12764,1
287.12768,1
287.12769,1
287.98,0
287.981,0
287.982,1
287.983,1
287.984,0
287.985,0
287.986,0
287.987,1
287.988,0
287.989,0
287.991,0
287.992,0
287.993,1
287.994,1
287.995,1
287.996,1
287.997,1
287.998,0
287.999,0
287.99,0
287.12772,1
287.125,0
287.1249,1
287.979,1
287.978,0
287.976,0
287.975,1
287.7688,0
287.7689,0
287.769,0
287.7691,1
287.7692,1
287.7693,0
287.7694,0
287.7695,0
287.7696,1
287.7697,0
287.7773,1
287.7774,1
287.7775,1
287.7776,1
287.7777,1
287.7778,1
287.7779,1
287.778,1
287.7782,1
287.7686,0
287.7685,0
287.7684,1
287.7683,1
287.6326,1
287.6327,1
287.6328,1
287.6329,1
287.633,1
287.6331,1
287.6492,1
287.767,0
287.7671,0
287.7783,1
287.7672,0
287.7674,0
287.7675,0
287.7676,0
287.7677,1
287.7678,1
287.7679,1
287.768,0
287.7681,0
287.7682,0
287.7673,0
287.5973,0
287.7784,0
287.7786,1
287.782,0
287.7821,0
287.7822,0
287.7823,1
287.7824,1
287.7825,0
287.7826,0
287.7827,1
287.7828,1
287.7829,0
287.783,1
287.7831,1
287.7832,1
287.7834,0
287.7835,0
287.7836,0
287.7837,0
287.7838,1
287.7839,0
287.7819,0
287.7818,0
287.7817,0
287.7816,1
287.7787,1
287.7788,0
287.7789,0
287.779,1
287.7791,1
287.7792,0
287.7794,1
287.7796,0
287.7797,1
287.7785,1
287.7798,1
287.7802,0
287.7803,1
287.7804,0
287.7805,1
287.7806,1
287.7807,0
287.7809,0
287.781,0
287.7814,1
287.7799,0
287.5972,1
287.5971,1
287.5969,0
287.298,1
287.2979,1
287.1301,0
287.1482,1
287.2972,1
287.2973,1
287.2975,1
287.2976,1
287.2977,1
287.2978,1
287.1477,1
287.5686,1
287.5687,1
287.5688,1
287.5689,0
287.569,1
287.5701,1
287.5702,1
287.5703,0
287.5704,1
287.5685,0
287.5746,1
287.5748,1
287.5749,0
287.575,1
287.5751,0
287.5752,1
287.5778,1
287.5955,1
287.5956,1
287.5959,1
287.5747,1
287.784,1
287.7841,0
287.7843,0
287.893,0
287.894,0
287.895,1
287.896,1
287.897,1
287.898,1
287.899,0
287.9,1
287.901,0
287.902,1
287.903,1
287.904,0
287.905,0
287.906,0
287.907,0
287.908,1
287.909,1
287.91,1
287.911,1
287.892,0
287.891,0
287.89,0
287.889,1
287.871,1
287.872,1
287.873,0
287.874,0
287.875,0
287.876,0
287.877,0
287.878,1
287.879,0
287.912,1
287.88,0
287.882,0
287.883,1
287.884,1
287.885,0
287.886,0
287.887,0
287.8875,1
287.888,1
287.8884,1
287.881,0
287.87,0
287.913,1
287.915,1
287.956,1
287.957,0
287.958,1
287.959,0
287.96,0
287.961,0
287.962,0
287.963,0
287.964,1
287.965,1
287.966,1
287.967,0
287.968,0
287.969,0
287.97,0
287.971,0
287.972,1
287.973,0
287.974,1
287.955,1
287.954,1
287.953,0
287.952,0
287.916,1
287.917,0
287.918,1
287.919,0
287.92,0
287.921,1
287.922,0
287.923,0
287.924,0
287.914,0
287.925,1
287.927,0
287.928,0
287.929,1
287.93,0
287.931,0
287.932,0
287.933,0
287.934,1
