genome_id,SIR
85569.135,1
85569.136,1
85569.137,1
85569.173,1
85569.139,1
85569.172,1
85569.174,1
85569.175,1
85569.176,1
85569.177,1
85569.179,1
85569.18,1
85569.181,0
85569.182,1
85569.183,0
85569.184,1
85569.185,1
85569.186,1
85569.187,0
85569.188,0
85569.189,1
85569.19,1
85569.191,1
85569.194,1
85569.195,1
85569.196,1
85569.198,0
85569.171,1
85569.168,1
85569.166,0
85569.14,1
85569.141,1
85569.142,1
85569.143,1
85569.144,0
85569.145,0
85569.146,1
85569.147,1
85569.148,1
85569.149,1
85569.138,1
85569.15,1
85569.152,0
85569.153,1
85569.154,1
85569.155,1
85569.156,1
85569.157,1
85569.158,1
85569.161,1
85569.162,1
85569.163,1
85569.165,0
85569.151,1
85569.199,1
85569.13,1
85569.131,0
85569.132,1
85569.133,1
85569.134,1
85569.278,1
85569.201,1
85569.37,1
85569.371,0
85569.372,1
85569.373,0
85569.374,1
85569.375,1
85569.376,1
85569.377,0
85569.378,1
85569.379,1
85569.45,1
85569.46,1
85569.49,1
85569.5,1
85569.51,1
85569.52,1
85569.54,0
85569.332,1
85569.333,1
85569.334,1
85569.335,0
85569.337,1
85569.339,1
85569.34,0
85569.341,1
85569.342,1
85569.343,1
85569.344,1
85569.345,0
85569.346,1
85569.33,1
85569.55,1
85569.57,1
85569.92,0
85569.93,1
85569.94,1
85569.95,1
85569.96,1
85569.97,0
85569.98,1
85569.99,1
85569.1,0
85569.91,1
85569.56,0
85569.9,0
85569.89,1
85569.58,1
85569.59,1
85569.6,1
85569.61,1
85569.62,0
85569.63,1
85569.64,1
85569.65,0
85569.66,1
85569.67,1
85569.68,1
85569.69,1
85569.7,1
85569.72,1
85569.73,1
85569.76,1
85569.77,1
85569.78,1
85569.81,0
85569.82,1
85569.83,1
85569.84,1
85569.85,1
85569.86,0
85569.87,1
85569.2,0
85569.328,1
85569.237,1
85569.238,0
85569.239,1
85569.24,0
85569.241,1
85569.242,0
85569.244,0
85569.245,1
85569.246,1
85569.248,0
85569.249,1
85569.25,1
85569.251,0
85569.252,1
85569.253,1
85569.255,0
85569.257,1
85569.258,0
85569.259,0
85569.261,1
85569.263,1
85569.264,1
85569.235,1
85569.265,1
85569.234,1
85569.23,1
85569.202,0
85569.203,1
85569.204,1
85569.205,1
85569.206,1
85569.207,1
85569.208,0
85569.21,1
85569.211,1
85569.212,1
85569.213,1
85569.214,1
85569.215,0
85569.216,1
85569.217,0
85569.222,1
85569.223,1
85569.224,1
85569.225,1
85569.227,1
85569.228,0
85569.229,1
85569.232,1
85569.329,1
85569.266,1
85569.268,1
85569.3,1
85569.302,1
85569.303,1
85569.304,1
85569.305,1
85569.306,1
85569.307,1
85569.308,1
85569.309,1
85569.31,1
85569.312,1
85569.313,1
85569.314,1
85569.315,1
85569.317,1
85569.318,1
85569.319,1
85569.32,0
85569.321,1
85569.322,1
85569.323,1
85569.324,0
85569.325,1
85569.326,1
85569.267,0
85569.299,0
85569.297,0
85569.269,1
85569.27,1
85569.271,1
85569.272,1
85569.273,1
85569.274,1
85569.275,1
85569.276,0
85569.277,1
85569.279,1
85569.282,1
85569.283,1
85569.284,1
85569.285,0
85569.286,1
85569.288,1
85569.289,1
85569.29,1
85569.291,1
85569.292,1
85569.293,1
85569.294,1
85569.298,1
85569.119,1
85569.108,0
85569.107,1
85569.106,0
85569.105,0
85569.102,0
85569.101,1
85569.11,1
85569.112,1
85569.113,1
85569.114,1
85569.115,1
85569.116,1
85569.117,1
85569.111,1
85569.128,1
85569.126,1
85569.125,1
85569.124,1
85569.123,1
85569.122,1
85569.121,1
85569.12,1
28901.10148,0
28901.10149,0
28901.1015,0
28901.10152,0
28901.10153,0
28901.10154,0
28901.10155,0
28901.10156,0
28901.10157,0
28901.10158,0
28901.10159,0
28901.1016,0
28901.10161,0
28901.10162,0
28901.10163,0
28901.10151,0
28901.10164,0
28901.10165,0
28901.10166,0
28901.10167,0
28901.10168,0
28901.10169,0
28901.1017,0
28901.10171,0
28901.10172,0
