genome_id,SIR
595.104,1
595.103,1
595.106,1
595.107,1
595.108,1
595.102,1
595.101,1
595.1,1
595.105,1
595.109,1
595.125,0
595.111,1
595.129,1
595.124,1
595.123,1
595.122,1
595.121,1
595.12,1
595.119,1
595.118,1
595.117,1
595.116,0
595.115,1
595.114,1
595.112,1
595.11,1
595.99,1
595.98,1
595.97,1
595.96,1
90371.3838,1
90371.3839,1
90371.384,1
90371.3841,1
90371.3842,1
90371.3843,1
90371.3844,1
90371.3845,1
90371.3846,0
90371.3847,1
90371.3848,1
90371.3849,1
90371.385,1
90371.3851,0
90371.3837,1
90371.3852,0
90371.3854,0
90371.3855,1
90371.3856,1
90371.3857,1
90371.3858,1
90371.3859,0
90371.386,0
90371.3861,1
90371.3862,1
90371.3863,1
90371.3864,1
90371.3865,1
90371.3866,1
90371.3867,1
90371.3853,1
90371.3836,1
90371.3835,1
90371.3834,0
90371.3804,0
90371.3805,0
90371.3806,1
90371.3807,1
90371.3808,0
90371.3809,1
90371.381,0
90371.3811,0
90371.3812,0
90371.3813,1
90371.3814,1
90371.3815,1
90371.3816,0
90371.3817,0
90371.3818,1
90371.3819,1
90371.3833,1
90371.3832,1
90371.3831,1
90371.383,1
90371.3829,1
90371.3828,0
90371.3868,1
90371.3827,1
90371.3825,1
90371.3824,1
90371.3823,0
90371.3822,0
90371.3821,0
90371.382,1
90371.3826,1
90371.3869,0
90371.387,1
90371.3871,1
90371.3803,1
90371.3872,1
90371.3802,1
90371.38,0
90371.3775,1
90371.3776,1
90371.3777,0
90371.3778,1
90371.3779,1
90371.378,0
90371.3781,1
90371.3782,1
90371.3783,0
90371.3784,1
90371.3785,1
90371.3799,1
90371.3798,1
90371.3797,0
90371.3796,1
90371.3795,1
90371.3794,1
90371.3793,1
90371.3791,1
90371.379,1
90371.3789,0
90371.3788,1
90371.3787,0
90371.3786,0
90371.3792,0
90371.3801,1
28901.2717,1
28901.10145,1
28901.10147,0
28901.10148,1
28901.10149,1
28901.1015,1
28901.10152,1
28901.10153,1
28901.10154,1
28901.10155,0
28901.10156,0
28901.10157,0
28901.10158,0
28901.10159,0
28901.1016,0
28901.10161,0
28901.10162,1
28901.10163,0
28901.10151,1
28901.10164,0
28901.10165,0
28901.10166,1
28901.10167,0
28901.10168,0
28901.10169,0
28901.1017,0
28901.10171,0
28901.10172,0
