genome_id,SIR
562.22793,1
562.22564,1
562.22565,0
562.22566,0
562.22567,0
562.22568,0
562.22569,1
562.22563,0
562.22571,0
562.22573,0
562.22574,0
562.22576,0
562.22577,0
562.22578,0
562.22579,1
562.22572,1
562.22562,1
562.22561,0
562.22543,1
562.22544,1
562.22545,1
562.22546,1
562.22547,1
562.22548,1
562.22549,0
562.22551,1
562.22552,0
562.22553,0
562.22554,1
562.22555,1
562.22556,0
562.22557,0
562.22558,0
562.22559,0
562.22581,1
562.22582,1
562.22583,0
562.22584,1
562.22606,0
562.22607,0
562.22608,0
562.22609,1
562.22611,1
562.22612,1
562.22613,0
562.22614,1
562.22615,0
562.22617,0
562.22618,1
562.22619,0
562.22621,0
562.22622,1
562.22623,0
562.22605,0
562.22542,0
562.22604,0
562.22602,0
562.22585,0
562.22586,1
562.22587,1
562.22588,1
562.22589,1
562.22591,0
562.22592,1
562.22593,0
562.22594,0
562.22595,1
562.22596,1
562.22597,1
562.22598,0
562.22599,0
562.22601,1
562.22603,0
562.22541,1
562.22539,1
562.22481,1
562.22482,0
562.22483,1
562.22484,1
562.22485,0
562.22486,1
562.22487,1
562.22488,1
562.22489,0
562.22491,1
562.22492,0
562.22493,1
562.22494,0
562.22495,0
562.22479,1
562.22497,0
562.22478,1
562.22476,1
562.22458,1
562.22461,1
562.22462,1
562.22463,1
562.22464,1
562.22465,1
562.22466,1
562.22467,1
562.22468,0
562.22469,1
562.22471,0
562.22472,1
562.22473,0
562.22474,1
562.22477,0
562.22624,0
562.22522,1
562.22523,1
562.22524,0
562.22525,0
562.22526,0
562.22527,1
562.22528,0
562.22529,1
562.22531,0
562.22532,0
562.22533,0
562.22534,0
562.22535,1
562.22536,1
562.22537,1
562.22538,0
562.22521,1
562.22499,1
562.22518,1
562.22501,1
562.22502,0
562.22503,1
562.22504,0
562.22505,1
562.22506,0
562.22507,1
562.22508,0
562.22509,0
562.22511,0
562.22512,1
562.22513,0
562.22514,1
562.22515,0
562.22516,0
562.22517,0
562.22519,1
562.22457,1
562.22625,1
562.22627,0
562.22733,1
562.22734,0
562.22735,1
562.22736,0
562.22737,1
562.22738,0
562.22732,0
562.22741,1
562.22743,1
562.22744,0
562.22745,1
562.22746,0
562.22747,1
562.22748,0
562.22749,0
562.22742,1
562.22731,1
562.22729,1
562.22712,0
562.22713,1
562.22714,1
562.22715,0
562.22716,1
562.22717,1
562.22718,1
562.22719,0
562.22721,0
562.22722,1
562.22723,0
562.22724,1
562.22725,0
562.22726,0
562.22727,0
562.22728,1
562.22751,1
562.22752,1
562.22753,1
562.22775,0
562.22776,0
562.22777,0
562.22778,1
562.22779,0
562.22781,0
562.22782,1
562.22783,1
562.22784,1
562.22785,1
562.22786,0
562.22787,1
562.22788,0
562.22789,0
562.22791,0
562.22774,1
562.22711,1
562.22773,1
562.22771,1
562.22754,1
562.22755,1
562.22756,0
562.22757,0
562.22758,1
562.22759,1
562.22761,1
562.22762,0
562.22763,1
562.22764,1
562.22765,1
562.22766,0
562.22767,0
562.22768,1
562.22769,0
562.22772,0
562.22709,0
562.22708,1
562.22649,0
562.22651,0
562.22652,0
562.22653,1
562.22654,1
562.22655,1
562.22656,0
562.22657,1
562.22658,0
562.22659,0
562.22661,1
562.22662,0
562.22663,0
562.22664,1
562.22665,0
562.22648,0
562.22666,0
562.22647,1
562.22645,0
562.22628,1
562.22629,0
562.22631,0
562.22632,1
562.22633,1
562.22634,1
562.22635,1
562.22636,0
562.22637,1
562.22638,0
562.22639,1
562.22641,0
562.22642,1
562.22643,1
562.22644,0
562.22646,1
562.22626,1
562.22667,1
562.22669,1
562.22691,1
562.22692,1
562.22693,1
562.22694,1
562.22695,1
562.22696,1
562.22697,1
562.22698,0
562.22699,1
562.22701,0
562.22702,0
562.22703,0
562.22704,0
562.22705,0
562.22706,0
562.22707,1
562.22668,0
562.22689,0
562.22687,0
562.22671,0
562.22672,0
562.22673,0
562.22674,0
562.22675,0
562.22676,0
562.22677,1
562.22678,1
562.22679,1
562.22681,1
562.22682,1
562.22683,1
562.22684,1
562.22685,1
562.22686,1
562.22688,1
562.22455,1
562.22453,0
562.22454,1
562.22796,1
562.22795,1
562.22794,0
562.12961,1
562.12962,1
562.22436,1
562.22437,0
562.22438,0
562.22439,0
562.22441,1
562.22442,1
562.22443,1
562.22444,1
562.22445,1
562.22446,0
562.22447,1
562.22448,0
562.22449,0
562.22451,0
562.22452,0
562.22435,1
562.22797,1
562.22434,1
562.22432,1
562.22428,1
562.22429,1
562.22431,1
562.22433,0
562.22798,0
562.22799,0
562.22879,1
562.22878,0
562.22877,0
562.22876,1
562.22875,1
562.22873,0
562.22872,0
562.22817,0
562.22816,0
562.22815,1
562.22814,1
562.22813,1
562.22812,0
562.22811,1
562.22809,0
562.22808,0
562.22807,1
562.22806,1
562.22805,1
562.22804,0
562.22803,0
562.22802,1
562.22801,0
562.22818,0
562.22819,1
562.22821,1
562.22827,0
562.22826,1
562.22825,0
562.22824,1
562.22823,1
562.22822,1
562.22792,1
562.23792,1
562.23791,1
562.23854,0
562.23867,0
562.23866,0
