,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 0,0.009556887470732064,16.69449507504793,4.390822508468061e-05,0.0009784743193309877,669.2770338407402,2.9677046718234617e-127,4.269793862387975e-127
Cluster 2,0.0006099725582596471,0.7124448864784091,0.39863336173897934,1.0,1350.0627097887148,1.8635974425560736e-225,3.590059372141854e-225
Cluster 4,2.4308861859573087e-05,0.0,1.0,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 6,0.00021036606165578814,0.1591013420449192,0.6899852402968392,1.0,1330.4771869335095,6.326439708583732e-223,1.1785585224982032e-222
Cluster 9,0.00046189931830046757,0.14074599286393047,0.7075405179111846,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 10,0.0018946857062264108,1.0616263996664235,0.30284453385452115,0.9736315068138454,1487.2210177863913,9.031479027913778e-243,4.305864275116761e-242
Cluster 15,0.0007501740822349855,0.5263882633745345,0.46812927910209867,1.0,1443.1008451559574,2.8124666192313707e-237,7.264993490898059e-237
Cluster 17,0.00046189931830046757,0.14074599286393047,0.7075405179111846,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 18,0.0001891741392425761,0.0062698655882473305,0.9368874775108329,1.0,1464.9361817934414,5.266997777962512e-240,1.6641209082531372e-239
Cluster 19,0.0007868138712346096,1.3354524572057414,0.2478375314696365,0.9063061628065314,185.58020329180587,1.8916077605128575e-40,1.99665006597026e-40
Cluster 20,0.0016987576432322023,2.374514926075941,0.12332990131069074,0.5722349771974651,1273.914083623116,1.5689869085917917e-215,2.726192386971377e-215
Cluster 21,9.329747551745614e-05,0.0,1.0,1.0,1464.9361817934414,5.266997777962512e-240,1.6641209082531372e-239
Cluster 23,0.006040464474887028,9.746895067385841,0.001796258571658469,0.021760844294519292,1047.1417274262903,1.5869135020324035e-184,2.449541409131634e-184
Cluster 24,6.221250387997146e-05,0.05191365936565974,0.819766203694596,1.0,891.1356275236035,8.320754566266859e-162,1.2363555257678263e-161
Cluster 26,0.0008862424512549767,0.9553296978447955,0.32836636875735925,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 27,0.00018446960281708231,0.04077598304408088,0.839970948833316,1.0,1432.3475998269535,6.291412226927918e-236,1.5283192507498643e-235
Cluster 28,0.0004883268799596614,0.424836366152356,0.5145336037392633,1.0,1411.161959478883,2.9536623803760937e-233,6.580545022379458e-233
Cluster 29,4.876373533982056e-05,0.0,1.0,1.0,1443.1008451559574,2.8124666192313707e-237,7.264993490898059e-237
Cluster 32,0.02005529542947354,38.80941769241911,4.672680172850161e-10,4.1374983584558265e-08,101.48700457946278,2.6167808151335012e-23,2.7162196373539834e-23
Cluster 36,6.436075200764307e-06,0.0,1.0,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 37,1.2840705452755313e-05,0.0,1.0,1.0,1380.1625609274145,2.5700722788315655e-229,5.264826813864315e-229
Cluster 42,0.0025561314818128116,1.822642700756572,0.17699903060982736,0.7094620307412384,1453.9631621517467,1.2304363092390229e-238,3.430500049761678e-238
Cluster 43,0.00046189931830046757,0.14074599286393047,0.7075405179111846,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 46,0.0022752857495016918,3.066719153495181,0.07991059461492626,0.4378997598425447,1320.824707604692,1.1323558421502732e-221,2.0706468243156757e-221
Cluster 48,0.002246808246457104,2.5248005892071608,0.11206894712205033,0.5558202089276828,1400.7264594087676,6.201630649807151e-232,1.3344251996706563e-231
Cluster 49,3.409612795689243e-05,0.0034148088268816782,0.9534010486754289,1.0,1237.9352631599422,9.262346701155429e-211,1.5692199442088566e-210
Cluster 52,6.436075200764307e-06,0.0,1.0,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 53,0.000456886560238845,0.32975187069143985,0.5658052321360693,1.0,1432.3475998269535,6.291412226927918e-236,1.5283192507498643e-235
Cluster 54,0.002258318465434287,3.2633830285315164,0.0708428322122789,0.41181350723953314,1255.7579175857975,3.9501211751517765e-213,6.787304249521145e-213
Cluster 56,0.008179961529277885,14.905303223576249,0.00011304474979937183,0.00211050410728303,379.37637055041364,2.1046976571173705e-77,2.3131575799516926e-77
Cluster 57,0.01384571293050152,26.298868152718967,2.924600222793562e-07,1.3143292667911544e-05,7.507382641458199,0.006200190282747953,0.006252529336264766
Cluster 58,0.000456886560238845,0.32975187069143985,0.5658052321360693,1.0,1432.3475998269535,6.291412226927918e-236,1.5283192507498643e-235
Cluster 64,6.436075200764307e-06,0.0,1.0,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 65,0.0010345366322368488,1.7419533541301129,0.18689151408248633,0.7333840599390706,856.5173576091274,1.3499981981249655e-156,1.993991391314557e-156
Cluster 67,0.00046189931830046757,0.14074599286393047,0.7075405179111846,1.0,1476.0215678655456,2.205451560637111e-241,8.256227331817824e-241
Cluster 68,2.4308861859573087e-05,0.0,1.0,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 69,0.00106527697691543,0.8949581825396042,0.3441372148407925,1.0,1464.9361817934414,5.266997777962512e-240,1.6641209082531372e-239
Cluster 70,0.004894689980722733,9.11671345610732,0.002532845996859515,0.02899179393009299,921.2287045944149,2.7686458593600154e-166,4.129776402357059e-166
Cluster 71,0.000605992800856131,0.7810461756976748,0.3768213729485286,1.0,1211.8073329536533,2.9193237385968907e-207,4.854822516829631e-207
Cluster 72,1.2977886407649492e-05,0.0,1.0,1.0,1340.2227482005062,3.4671886163125435e-224,6.5791882108087e-224
Cluster 75,0.0006463835736047127,0.8769065508715728,0.3490503522773858,1.0,1161.6302906065357,1.843483805330002e-200,2.985991317738247e-200
Cluster 76,0.0010642105431627538,1.5538494989128089,0.2125680491498063,0.8056839668208534,1283.1200893776843,9.623945723325884e-217,1.6838336626601416e-216
Cluster 77,0.0005668877537114494,0.6161804486761772,0.4324702066346455,1.0,1370.0312337260277,5.074862963965205e-228,1.0138446067405085e-227
Cluster 79,0.0005558004934330604,0.5672578930445842,0.4513506187103602,1.0,1350.0627097887148,1.8635974425560736e-225,3.590059372141854e-225
Cluster 80,0.0002499112531568204,0.29825342036199953,0.584979446693505,1.0,1061.5724474217056,1.4418316484065614e-186,2.233265416353449e-186
Cluster 81,0.0036005275774829704,6.148853129849467,0.013149734757406408,0.11343749705029522,839.7889248096774,4.688700633500712e-154,6.909683358629446e-154
Cluster 82,0.000197994367726044,0.08304837417496157,0.7732080785123616,1.0,1400.7264594087676,6.201630649807151e-232,1.3344251996706563e-231
Cluster 84,4.655151586286082e-05,0.0,1.0,1.0,1487.2210177863913,9.031479027913778e-243,4.305864275116761e-242
Cluster 85,0.0001891741392425761,0.0062698655882473305,0.9368874775108329,1.0,1464.9361817934414,5.266997777962512e-240,1.6641209082531372e-239
Cluster 86,0.005707853103491589,10.804358394148577,0.001012614138617246,0.013328515945885995,737.213453626134,3.8982477284737126e-138,5.660391251245582e-138
Cluster 88,0.00014023910942684986,0.012634989063344322,0.9105019205794584,1.0,1443.1008451559574,2.8124666192313707e-237,7.264993490898059e-237
Cluster 89,0.01185424493323134,22.913304603144848,1.6947474743697118e-06,5.96797734677767e-05,195.83219826431724,1.725681491242678e-42,1.8266172132798087e-42
Cluster 91,0.0005098743124537812,0.0,1.0,1.0,1498.5362634618114,3.616114361105658e-244,2.3318810579388213e-243
Cluster 92,0.0,0.0,1.0,1.0,1509.9690721649486,1.4152744667779356e-245,1.482425391810962e-244
Cluster 94,0.006103576634468484,10.14859368817596,0.001444113665257966,0.01800372881885344,952.5218414821483,6.842248773781397e-171,1.027425979356594e-170
Cluster 95,4.0701391164417455e-05,0.011224481240375903,0.9156254725741106,1.0,1169.807281169767,1.4125677442227783e-201,2.2984669113973695e-201
Cluster 101,0.00018737765853544391,0.06299921566003101,0.8018168573149087,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 104,0.0009989251529595455,1.7278297332273609,0.18868829812896015,0.7396659661856954,189.2940835182264,3.4409904793163804e-41,3.63552730462338e-41
Cluster 105,0.0020435495411324604,1.2196712214256769,0.2694251845899764,0.9267660751755766,1464.9361817934414,5.266997777962512e-240,1.6641209082531372e-239
Cluster 107,6.436075200764307e-06,0.0,1.0,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 108,0.0033254706548636204,4.427950709479843,0.03535493297723007,0.24770763175397834,1330.4771869335095,6.326439708583732e-223,1.1785585224982032e-222
Cluster 109,2.4308861859573087e-05,0.0,1.0,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 112,0.0088044340508939,16.975776801395916,3.7859774766002355e-05,0.0008740450518335146,458.3569743485734,1.412588094825578e-91,1.5793508049895025e-91
Cluster 113,0.008711402206571128,16.6783186053035,4.428424126486031e-05,0.0009856899220215074,0.21354895332771429,0.6440510106207797,0.6451105299016778
Cluster 116,0.0017879685567238346,2.9358563326088722,0.08663271178896402,0.4668344708531699,927.3891732878593,3.399046634500161e-167,5.075310911018949e-167
Cluster 117,0.0009465467717973382,0.04681987758545804,0.8286923234096761,1.0,1498.5362634618114,3.616114361105658e-244,2.3318810579388213e-243
Cluster 123,4.795876326529544e-05,0.0,1.0,1.0,1411.161959478883,2.9536623803760937e-233,6.580545022379458e-233
Cluster 124,0.0004883268799596614,0.424836366152356,0.5145336037392633,1.0,1411.161959478883,2.9536623803760937e-233,6.580545022379458e-233
Cluster 126,0.00046189931830046757,0.14074599286393047,0.7075405179111846,1.0,1476.0215678655456,2.205451560637111e-241,8.256227331817824e-241
Cluster 130,0.0004388581142596125,0.23505587163690095,0.6278000549317239,1.0,1453.9631621517467,1.2304363092390229e-238,3.430500049761678e-238
Cluster 132,0.00043972375199610725,0.5077533284848998,0.4761130436678891,1.0,1246.8054622964135,6.102225243632482e-212,1.0417827557309057e-211
Cluster 134,0.002664242255235927,4.779077262054817,0.028807553038123424,0.21215082465648835,958.9305134285553,7.903346773171358e-172,1.1881773822669007e-171
Cluster 137,0.012274268204306826,23.72823856459629,1.109427112810509e-06,4.146621139465021e-05,184.09389004213054,3.744738225006948e-40,3.9515812599656814e-40
Cluster 138,0.00033399745344981496,0.3653419917204678,0.5455542947012378,1.0,1229.1462234900157,1.381600928489217e-209,2.3231819621589283e-209
Cluster 140,0.00018737765853544391,0.06299921566003101,0.8018168573149087,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 144,0.0005098743124537812,0.0,1.0,1.0,1498.5362634618114,3.616114361105658e-244,2.3318810579388213e-243
Cluster 148,0.0009205725009669985,1.1890366692627277,0.2755239576517937,0.939569051612937,1359.9984152139464,9.82193221732116e-227,1.924719379172933e-226
Cluster 149,0.0033229953936595447,5.965577461065254,0.014587822312667949,0.12363949086286823,452.46948676483106,1.5498401765636603e-90,1.7310629819894129e-90
Cluster 151,0.002885939998288574,4.626918536430507,0.03147404328266122,0.2274397270138708,1076.2483626179226,1.2375678852774378e-188,1.927795150170144e-188
Cluster 153,8.461117018432676e-05,0.010177744704991849,0.9196419021694945,1.0,1390.3938194097157,1.2754684832293536e-230,2.6701938355095437e-230
Cluster 154,0.0004432594038975982,0.1871545448962214,0.6652954924447605,1.0,1453.9631621517467,1.2304363092390229e-238,3.430500049761678e-238
Cluster 155,0.004626459775933241,7.492439683765631,0.0061958557980656805,0.0617349764398483,1054.3268093312417,1.5233335382680028e-185,2.355831260533269e-185
Cluster 161,0.0010310709510473193,1.6689095002420462,0.1964046615867778,0.7624718197141981,1047.1417274262903,1.5869135020324035e-184,2.449541409131634e-184
Cluster 162,0.0015271064700197595,2.5403260305894406,0.11097186991405532,0.5554479036403591,1114.051179415979,6.541488068020327e-194,1.0351323548279987e-193
Cluster 166,0.001459457417397004,1.4443954428883667,0.22942938452604617,0.8499469348241652,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 173,2.4967682974719185e-06,0.0,1.0,1.0,1169.807281169767,1.4125677442227783e-201,2.2984669113973695e-201
Cluster 174,0.00018446960281708231,0.04077598304408088,0.839970948833316,1.0,1432.3475998269535,6.291412226927918e-236,1.5283192507498643e-235
Cluster 179,0.0015316472566046894,0.6529281562445051,0.41906772865969,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 182,0.0013944742992352786,1.7876086412722405,0.18121779785609826,0.7179861323538739,1411.161959478883,2.9536623803760937e-233,6.580545022379458e-233
Cluster 183,0.0024978680461718306,4.361448702041185,0.036761030756919826,0.25481194872887947,1106.3602393719796,7.655500419836633e-193,1.2073660630383763e-192
Cluster 184,0.0039534643083148574,4.903767929096669,0.02679816250606977,0.1993753714237552,1359.9984152139464,9.82193221732116e-227,1.924719379172933e-226
Cluster 186,0.002659976840924066,3.0991487070317625,0.07833324604772042,0.4368425480623564,1390.3938194097157,1.2754684832293536e-230,2.6701938355095437e-230
Cluster 190,1.7448300878887546e-05,0.0,1.0,1.0,599.3324415024758,9.42958655856992e-116,1.1074131800211997e-115
Cluster 195,1.4044871306170825e-06,0.0,1.0,1.0,1301.7938434027328,3.4268039851034715e-219,6.100822978572724e-219
Cluster 196,0.0006186281752316881,0.5164513090175582,0.4723593907357748,1.0,1411.161959478883,2.9536623803760937e-233,6.580545022379458e-233
Cluster 197,1.0748159964053816e-05,0.0,1.0,1.0,1178.0573254207961,1.065033341140959e-202,1.7421357408818444e-202
Cluster 201,1.0748159964053816e-05,0.0,1.0,1.0,1178.0573254207961,1.065033341140959e-202,1.7421357408818444e-202
Cluster 206,0.00106527697691543,0.8949581825396042,0.3441372148407925,1.0,1464.9361817934414,5.266997777962512e-240,1.6641209082531372e-239
Cluster 208,0.0009515151999557048,1.4649238308658603,0.22614830979223077,0.8489577909268237,998.4820533696432,1.438342150794832e-177,2.181319949883694e-177
Cluster 210,0.0015440282044381776,2.548754607775413,0.11038123314624763,0.553519068978593,867.8816256692966,2.5878114882022148e-158,3.832478763422922e-158
Cluster 217,5.354220982904667e-06,0.0,1.0,1.0,1246.805462296413,6.10222524363491e-212,1.0417827557309057e-211
Cluster 218,0.0020435495411324604,1.2196712214256769,0.2694251845899764,0.9267660751755766,1464.9361817934414,5.266997777962512e-240,1.6641209082531372e-239
Cluster 219,0.020200876981121274,39.08631001071561,4.0547729729888296e-10,3.751658816919811e-08,99.53566219876377,6.680631165781084e-23,6.929924887564187e-23
Cluster 222,0.0013218316063549618,1.9916386340528671,0.15816965117772497,0.6852782881008357,1129.6343900553143,4.563426772039216e-196,7.262620600526155e-196
Cluster 225,0.0,0.0,1.0,1.0,1509.9690721649486,1.4152744667779356e-245,1.482425391810962e-244
Cluster 229,0.00013383776014417453,0.09354954843802357,0.7597122274642579,1.0,1246.8054622964135,6.102225243632482e-212,1.0417827557309057e-211
Cluster 234,0.0008862424512549767,0.9553296978447955,0.32836636875735925,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 235,0.00023471437439216356,0.13119560095024424,0.7171956056562754,1.0,1400.7264594087676,6.201630649807151e-232,1.3344251996706563e-231
Cluster 237,0.008934207652022047,15.909230563662176,6.645382910081758e-05,0.0013589556059349205,159.50599477147753,3.2499471704696214e-35,3.410583389448132e-35
Cluster 244,0.007490265439773963,13.945406021940471,0.00018819700450796513,0.0032146773394460103,175.61458924890778,1.8604865512009225e-38,1.9594176796070426e-38
Cluster 245,0.0,0.0,1.0,1.0,1509.9690721649486,1.4152744667779356e-245,1.482425391810962e-244
Cluster 248,0.0009390619002532796,1.3147430900333559,0.2515376853857006,0.9158514297174187,476.0251268570033,1.1052594318247197e-94,1.2402218521902138e-94
Cluster 249,0.006487569767238022,11.665960110601363,0.0006365408442807271,0.008952837880624981,498.3939293034883,1.3894127129657981e-98,1.5693354650966092e-98
Cluster 250,1.7448300878887546e-05,0.0,1.0,1.0,1432.3475998269535,6.291412226927918e-236,1.5283192507498643e-235
Cluster 253,0.0003092547262591866,0.31678996325293596,0.5735431757685023,1.0,1255.7579175857975,3.9501211751517765e-213,6.787304249521145e-213
Cluster 259,0.0,0.0,1.0,1.0,639.9395973154365,1.8154028334888312e-122,2.3254651158535246e-122
Cluster 261,4.655151586286082e-05,0.0,1.0,1.0,1487.2210177863913,9.031479027913778e-243,4.305864275116761e-242
Cluster 263,0.0005259131495212455,0.5203117536809434,0.4707087270456971,1.0,1390.3938194097157,1.2754684832293536e-230,2.6701938355095437e-230
Cluster 264,0.004928315653012486,7.330312684616981,0.00678012578474197,0.06627388616623753,1411.161959478883,2.9536623803760937e-233,6.580545022379458e-233
Cluster 266,0.0003833091982356207,0.47908453407655205,0.48883727791896625,1.0,1194.780399828819,5.764444965779203e-205,9.502523906470083e-205
Cluster 268,0.0,0.0,1.0,1.0,1509.9690721649486,1.4152744667779356e-245,1.482425391810962e-244
Cluster 270,0.0010204227904419046,0.1747480385540715,0.6759260947553638,1.0,1487.2210177863913,9.031479027913778e-243,4.305864275116761e-242
Cluster 272,0.0025060832959620024,3.1979052897927236,0.07373265151843535,0.42132144592542087,1443.1008451559574,2.8124666192313707e-237,7.264993490898059e-237
Cluster 276,0.0,0.0,1.0,1.0,1509.9690721649486,1.4152744667779356e-245,1.482425391810962e-244
Cluster 283,0.0,0.0,1.0,1.0,639.9395973154365,1.8154028334888312e-122,2.3254651158535246e-122
Cluster 285,0.0027159588187461864,4.8849778364513785,0.02709138233955748,0.20123960710710248,946.1639413917403,5.850635745472253e-170,8.770609935333872e-170
Cluster 288,0.00018737765853544391,0.06299921566003101,0.8018168573149087,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 293,0.0010204227904419046,0.1747480385540715,0.6759260947553638,1.0,1487.2210177863913,9.031479027913778e-243,4.305864275116761e-242
Cluster 299,0.00018737765853544391,0.06299921566003101,0.8018168573149087,1.0,1421.7018271869354,1.3776541555890836e-234,3.1749966039980405e-234
Cluster 301,3.4573302770853076e-07,0.0,1.0,1.0,1453.9631621517467,1.2304363092390229e-238,3.430500049761678e-238
Cluster 306,0.020558967530169447,39.78868144785375,2.829802614021209e-10,2.811185491560543e-08,100.50850192055901,4.1862547814247435e-23,4.3439009895212774e-23
Cluster 315,2.4308861859573087e-05,0.0,1.0,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 319,1.0360762704733628e-05,0.0,1.0,1.0,1076.2483626179226,1.2375678852774378e-188,1.927795150170144e-188
Cluster 321,0.0015503188630124898,2.469688429098702,0.1160609290499357,0.5559064066675714,1012.0995988927181,1.5825805184746544e-179,2.4101345236573426e-179
Cluster 322,0.0006186281752316881,0.5164513090175582,0.4723593907357748,1.0,1411.161959478883,2.9536623803760937e-233,6.580545022379458e-233
Cluster 323,2.078298420372937e-05,0.0035261496478389055,0.9526483343916179,1.0,389.59863288189075,2.895680401165566e-79,3.18768036696606e-79
Cluster 325,0.0018881161644241258,2.741332641580053,0.0977831899078046,0.5037275408050796,1237.9352631599422,9.262346701155429e-211,1.5692199442088566e-210
Cluster 330,0.00046189931830046757,0.14074599286393047,0.7075405179111846,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 333,0.0005165789615163624,0.664788784867661,0.7172044070765287,1.0,1389.3802499217968,1.7167268275669455e-230,3.5895888856016505e-230
Cluster 334,0.0,0.0,1.0,1.0,639.9395973154365,1.8154028334888312e-122,2.3254651158535246e-122
Cluster 335,0.0018456827602322942,1.9708385270026452,0.16035888518210475,0.6852782881008357,1411.161959478883,2.9536623803760937e-233,6.580545022379458e-233
Cluster 336,0.00046189931830046757,0.14074599286393047,0.7075405179111846,1.0,1476.021567865546,2.205451560637111e-241,8.256227331817824e-241
Cluster 337,0.001063699782255123,1.2383690897120487,0.2657856016540002,0.9267660751755766,1359.9984152139464,9.82193221732116e-227,1.924719379172933e-226
Cluster 339,0.0021560152001905974,3.1734197360622582,0.07484558063528514,0.42680070528429215,1229.1462234900155,1.381600928489217e-209,2.3231819621589283e-209
