,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 0,0.008489281268199228,7.056585609501884,0.007897437577062688,0.2090661069664211,416.00926459293413,1.0390927266075847e-77,1.5228569931452879e-77
Cluster 2,0.003625647908378101,2.1411717010071842,0.14339233486393368,0.9001674111133563,755.0924912347502,1.4067149286205623e-124,3.3699383522929477e-124
Cluster 4,0.001344121953027638,0.4570702815226012,0.49899637335238745,1.0,744.3360408009064,3.094570825396467e-123,6.852419559990417e-123
Cluster 6,0.003801865854814908,1.1415146250036714,0.2853325070114371,1.0,788.6521710868437,1.0282993256164368e-128,4.1034143279091424e-128
Cluster 9,0.0,0.0,1.0,1.0,812.1649484536081,1.445848413224165e-131,2.029025189561793e-130
Cluster 10,0.0,0.0,1.0,1.0,812.1649484536081,1.445848413224165e-131,2.029025189561793e-130
Cluster 15,0.0018977697149372749,0.057624455942818696,0.8102907629967869,1.0,800.2900889682633,3.943195814146371e-130,2.3962595296848923e-129
Cluster 17,0.0018977697149372749,0.057624455942818696,0.8102907629967869,1.0,800.2900889682633,3.943195814146371e-130,2.3962595296848923e-129
Cluster 18,0.0018977697149372749,0.057624455942818696,0.8102907629967869,1.0,800.2900889682633,3.943195814146371e-130,2.3962595296848923e-129
Cluster 19,0.00042176634868190677,0.30704205640222665,0.579500995312086,1.0,9.413806469800551,0.0022109898610063886,0.0022541014165764063
Cluster 20,0.0019160734653735495,0.15114757986858504,0.6974410933592576,1.0,788.6521710868437,1.0282993256164368e-128,4.1034143279091424e-128
Cluster 21,0.0019783969420124406,0.8587154010449056,0.35409842728435137,1.0,733.7846175473675,6.538132208119365e-122,1.3615097686259157e-121
Cluster 23,0.00240827180948449,1.6940058819876425,0.19307374644301495,1.0,573.3235703554639,1.0449871280257345e-100,1.6620992703704172e-100
Cluster 24,0.0031285613014619684,2.4993324170308964,0.11389456816117559,0.8332403000163524,604.7530864197535,5.022542082500936e-105,8.19647949223771e-105
Cluster 26,0.0009568161394945627,0.0,1.0,1.0,800.2900889682633,3.943195814146371e-130,2.3962595296848923e-129
Cluster 27,0.0018977697149372749,0.057624455942818696,0.8102907629967869,1.0,800.2900889682633,3.943195814146371e-130,2.3962595296848923e-129
Cluster 28,0.0022120493785338577,0.9955159042655705,0.3183979658915873,1.0,766.0598695151592,6.13635394773788e-126,1.646158055195459e-125
Cluster 29,0.0022120493785338577,0.9955159042655705,0.3183979658915873,1.0,766.0598695151592,6.13635394773788e-126,1.646158055195459e-125
Cluster 32,0.007679584810453832,7.3190758957333575,0.006822648514734588,0.19175763172086668,135.50304372383252,1.775179480766765e-29,1.92157554048705e-29
Cluster 36,0.0018977697149372749,0.057624455942818696,0.8102907629967869,1.0,800.2900889682633,3.943195814146371e-130,2.3962595296848923e-129
Cluster 37,0.00011096024092597037,0.0,1.0,1.0,788.6521710868437,1.0282993256164368e-128,4.1034143279091424e-128
Cluster 42,0.0,0.0,1.0,1.0,812.1649484536081,1.445848413224165e-131,2.029025189561793e-130
Cluster 43,0.0,0.0,1.0,1.0,812.1649484536081,1.445848413224165e-131,2.029025189561793e-130
Cluster 46,0.0057777708482838405,2.3126488346990928,0.12832520491853763,0.8504786995399977,744.3360408009069,3.094570825396115e-123,6.852419559990417e-123
Cluster 48,5.975613531540927e-05,0.0,1.0,1.0,733.7846175473675,6.538132208119365e-122,1.3615097686259157e-121
Cluster 49,0.001911805037051649,1.1029374320570682,0.29362236337018066,1.0,723.4325396825395,1.3277486646179854e-120,2.6500217875292877e-120
Cluster 52,6.479756708194576e-05,0.0,1.0,1.0,744.3360408009066,3.094570825396467e-123,6.852419559990417e-123
Cluster 53,0.009552571154006179,5.700824058992772,0.016956949774095544,0.3029003299450383,755.09249123475,1.4067149286207223e-124,3.3699383522929477e-124
Cluster 54,0.0010744698372822659,0.43239976322232765,0.5108137643093953,1.0,713.2743342410117,2.593743090199408e-119,5.009916171460686e-119
Cluster 56,0.0018442551546341557,1.5311850607942792,0.21593467535184657,1.0,235.87698222008643,5.328254390932469e-48,5.994206796331527e-48
Cluster 57,0.01256424110750698,12.131726002129623,0.0004957121895864316,0.04567334778058452,59.1324822014768,3.4882229783494747e-14,3.652918814710737e-14
Cluster 58,8.245837981868398e-08,0.0,1.0,1.0,674.4775684598953,2.600950306941488e-114,4.630098749743106e-114
Cluster 64,0.00022283012847657685,0.0,1.0,1.0,766.0598695151592,6.13635394773788e-126,1.646158055195459e-125
Cluster 65,7.406558069897318e-05,0.007544623923398132,0.9307829579236953,1.0,523.039526527161,1.2888645672460165e-93,1.9799233911262766e-93
Cluster 67,3.220912401741445e-05,0.0,1.0,1.0,777.2443058174962,2.5665060546668413e-127,8.177380449330963e-127
Cluster 68,0.001867283377249878,1.0838387434479022,0.2978403873824866,1.0,665.2133024801236,4.2312045461072143e-113,7.409907757263199e-113
Cluster 69,0.00011096024092597037,0.0,1.0,1.0,788.6521710868437,1.0282993256164368e-128,4.1034143279091424e-128
Cluster 70,5.7999415146670064e-05,0.0031754155165806936,0.9550623303586632,1.0,516.3022577721736,1.1968021156892834e-92,1.831344948004477e-92
Cluster 71,0.0006417199923877057,0.17283777092244196,0.6776020077103939,1.0,723.4325396825395,1.3277486646179854e-120,2.6500217875292877e-120
Cluster 72,0.00033562100487665933,0.028425995682438955,0.8661111973217097,1.0,744.3360408009064,3.094570825396467e-123,6.852419559990417e-123
Cluster 75,0.0009472357379714386,0.6605921617269518,0.41635096574980524,1.0,490.3715283573658,6.974639922806301e-89,1.0545204144743385e-88
Cluster 76,0.00019912977874925186,0.036494010024707785,0.8484989127197144,1.0,647.1752866838286,1.0101955243499896e-110,1.7271232356980124e-110
Cluster 77,0.0019662626734990828,1.026715977178606,0.31093124018136975,1.0,744.3360408009066,3.094570825396467e-123,6.852419559990417e-123
Cluster 79,6.479756708194576e-05,0.0,1.0,1.0,744.3360408009066,3.094570825396467e-123,6.852419559990417e-123
Cluster 80,0.0017251269727920557,1.0483055777429202,0.305897650477544,1.0,638.3931813889975,1.4844543898438315e-109,2.511570151335812e-109
Cluster 81,0.0029460491017426482,2.330831695460919,0.1268340952508758,0.8504786995399977,442.96316119744534,7.949896068731286e-82,1.1794866239373983e-81
Cluster 82,5.786989698337852e-06,0.0,1.0,1.0,755.0924912347502,1.4067149286205623e-124,3.3699383522929477e-124
Cluster 84,0.0006417199923877057,0.17283777092244196,0.6776020077103939,1.0,723.4325396825395,1.3277486646179854e-120,2.6500217875292877e-120
Cluster 85,0.003801865854814908,1.1415146250036714,0.2853325070114371,1.0,788.6521710868437,1.0282993256164368e-128,4.1034143279091424e-128
Cluster 86,0.00610496830661808,5.479157876666348,0.019244528077875914,0.32932046008151217,523.039526527161,1.2888645672460165e-93,1.9799233911262766e-93
Cluster 88,0.00031845367773997504,0.0012031736916989762,0.9723294912953283,1.0,766.0598695151592,6.13635394773788e-126,1.646158055195459e-125
Cluster 89,0.00853603480397691,8.162074918324311,0.004277540564072772,0.14600104547355075,213.4959349593496,5.245501601257413e-44,5.837441349197197e-44
Cluster 91,0.00031845367773997504,0.0012031736916989762,0.9723294912953283,1.0,766.0598695151592,6.13635394773788e-126,1.646158055195459e-125
Cluster 92,0.00031845367773997504,0.0012031736916989762,0.9723294912953283,1.0,766.0598695151592,6.13635394773788e-126,1.646158055195459e-125
Cluster 94,0.006651628557230296,5.522638693242161,0.01877192279161224,0.3256618039445598,416.00926459293413,1.0390927266075847e-77,1.5228569931452879e-77
Cluster 95,0.0026627981821899793,1.3195359832801996,0.25067534415007897,1.0,723.4325396825395,1.3277486646179854e-120,2.6500217875292877e-120
Cluster 101,0.002877784711727144,0.5996484963686908,0.4387121720723113,1.0,777.2443058174962,2.5665060546668413e-127,8.177380449330963e-127
Cluster 104,0.00039618570675720166,0.2829258772799371,0.5947898745516484,1.0,14.227396866465428,0.00017140690302283685,0.0001754599107628421
Cluster 105,0.0,0.0,1.0,1.0,812.1649484536081,1.445848413224165e-131,2.029025189561793e-130
Cluster 107,0.0018977697149372749,0.057624455942818696,0.8102907629967869,1.0,800.2900889682633,3.943195814146371e-130,2.3962595296848923e-129
Cluster 108,0.00022283012847657685,0.0,1.0,1.0,766.0598695151592,6.13635394773788e-126,1.646158055195459e-125
Cluster 109,3.220912401741445e-05,0.0,1.0,1.0,777.2443058174962,2.5665060546668413e-127,8.177380449330963e-127
Cluster 112,0.0013523047568155533,1.0813426524008087,0.2983973895845127,1.0,358.43667666030706,1.1972766095334127e-68,1.7170880635926726e-68
Cluster 113,0.006824139972233578,6.4424147478899725,0.011142707826299962,0.24889776357563526,2.9806174248864505,0.08457291322650357,0.08546949387751003
Cluster 116,0.0036808983237504103,2.7954613616361637,0.09453155418052607,0.7694191829053167,529.8832604680214,1.3535281649791045e-94,2.0877538705549234e-94
Cluster 117,0.0009568161394945627,0.0,1.0,1.0,800.2900889682633,3.943195814146371e-130,2.3962595296848923e-129
