,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 0,0.00019106029488430432,0.048821458963332225,0.8251268604611395,1.0,158.3945439739413,5.1709074470565226e-33,
Cluster 2,0.003293782044890569,1.1304553843698142,0.2876782254333188,1.0,379.09081850533823,2.523222235960602e-68,
Cluster 4,0.0034256881263129806,0.3719152770998507,0.5419621245455586,1.0,403.46393327067676,8.859228470654344e-72,
Cluster 6,0.0042076678861451035,0.6590787139031439,0.4168853804172027,1.0,403.4639332706767,8.859228470654344e-72,
Cluster 9,0.0,0.0,1.0,1.0,420.8235294117647,3.405787592833776e-74,
Cluster 10,0.0,0.0,1.0,1.0,420.8235294117647,3.405787592833776e-74,
Cluster 15,0.002099493144113524,0.00508592478087126,0.9431465241642293,1.0,412.0268665578147,5.64218330870877e-73,
Cluster 17,0.0017095810875410351,0.0,1.0,1.0,412.02686655781474,5.64218330870877e-73,
Cluster 18,0.002099493144113524,0.00508592478087126,0.9431465241642293,1.0,412.0268665578147,5.64218330870877e-73,
Cluster 19,0.0014419288959582333,0.7531110203515374,0.3854930472888072,1.0,111.81994072122505,2.053628239104613e-24,
Cluster 20,1.3899120793688796e-05,0.0,1.0,1.0,403.4639332706767,8.859228470654344e-72,
Cluster 21,0.010356418590586669,3.5626508103241292,0.05909329997629293,0.6125129253446069,371.378241262683,3.243811748301585e-67,
Cluster 23,0.0045579918501613,2.6091046882095927,0.1062517338056129,0.8437111803032998,255.05950531724224,1.8234857360607068e-49,
Cluster 24,0.0008472119610771767,0.3115139148144809,0.5767526692394263,1.0,280.97017892644135,1.348928215828088e-53,
Cluster 26,0.0017095810875410351,0.0,1.0,1.0,412.0268665578147,5.64218330870877e-73,
Cluster 27,0.0017095810875410351,0.0,1.0,1.0,412.0268665578147,5.64218330870877e-73,
Cluster 28,2.7952218683895136e-05,0.0,1.0,1.0,387.00414173953067,1.8708348077370792e-69,
Cluster 29,0.00845036588145489,2.740037299450167,0.09786248253983808,0.8067256973114832,387.00414173953067,1.8708348077370792e-69,
Cluster 32,0.04002072093549239,27.84596917142142,1.3136746666242443e-07,8.730848356525567e-06,18.953136576932582,1.5310385827771436e-05,
Cluster 36,0.002099493144113524,0.00508592478087126,0.9431465241642293,1.0,412.0268665578147,5.64218330870877e-73,
Cluster 37,1.3899120793688796e-05,0.0,1.0,1.0,403.4639332706767,8.859228470654344e-72,
Cluster 42,0.0,0.0,1.0,1.0,420.8235294117647,3.405787592833776e-74,
Cluster 43,0.0,0.0,1.0,1.0,420.8235294117647,3.405787592833776e-74,
Cluster 46,0.010356418590586669,3.5626508103241292,0.05909329997629293,0.6125129253446069,371.378241262683,3.243811748301585e-67,
Cluster 48,0.0021110155536791346,0.5513557112595733,0.4577642797956629,1.0,379.0908185053383,2.523222235960458e-68,
Cluster 49,4.21618688503031e-05,0.0,1.0,1.0,371.378241262683,3.243811748301585e-67,
Cluster 52,0.0005904812962580462,0.05606617647058816,0.8128251612770818,1.0,371.378241262683,3.243811748301585e-67,
Cluster 53,0.0,0.0,1.0,1.0,420.8235294117647,3.405787592833776e-74,
Cluster 54,0.008302783462034335,3.982460225710395,0.04597636416510529,0.5410248588630688,356.5266416095511,4.6666261767251486e-65,
Cluster 56,0.06989174446552035,45.336277472827305,1.659466545545598e-11,3.773786873153394e-09,68.97120575884821,4.841455019695801e-16,
Cluster 57,0.05138548407870738,35.68829531812725,2.31551043590803e-09,2.3247478445619186e-07,0.9233037465012197,0.33692716472784967,
Cluster 58,0.00029286025801594437,0.0,1.0,1.0,395.1258391699846,1.3204329804740723e-70,
Cluster 64,2.7952218683895136e-05,0.0,1.0,1.0,387.00414173953067,1.8708348077370792e-69,
Cluster 65,0.0002424180791657793,0.05579451279014612,0.8132707899335737,1.0,223.07398654790035,3.27474499950993e-44,
Cluster 67,0.002099493144113524,0.00508592478087126,0.9431465241642293,1.0,412.0268665578147,5.64218330870877e-73,
Cluster 68,0.0017095810875410351,0.0,1.0,1.0,412.0268665578147,5.64218330870877e-73,
Cluster 69,1.3899120793688796e-05,0.0,1.0,1.0,403.4639332706767,8.859228470654344e-72,
Cluster 70,0.008208797695454184,5.10094194926128,0.02391285437519928,0.34271459858153863,218.86490329278476,1.659324032506964e-43,
Cluster 71,5.6530704273020926e-05,0.0,1.0,1.0,356.5266416095511,4.6666261767251486e-65,
Cluster 72,0.003293782044890569,1.1304553843698142,0.2876782254333188,1.0,379.09081850533835,2.523222235960458e-68,
Cluster 75,0.0008929816701641613,0.2119649540488467,0.6452316333377385,1.0,349.37412750116334,5.2348241531587595e-64,
Cluster 76,0.006549313947985131,2.9606241302728806,0.08531500310971926,0.7765161050231693,363.8591521781597,3.9800894558984896e-66,
Cluster 77,0.004870740588651241,1.9992054321728694,0.15738168939116828,1.0,371.378241262683,3.243811748301585e-67,
Cluster 79,0.0005110403165070158,0.025711392590277084,0.8726071668821243,1.0,379.0908185053383,2.523222235960458e-68,
Cluster 80,0.0009608567331376716,0.2971604319693978,0.5856680754164686,1.0,328.9352640545142,5.730748651790834e-61,
Cluster 81,0.044605236520824765,26.378585116994287,2.806347086833978e-07,1.7367147955406995e-05,177.58086253369274,2.026130389251295e-36,
Cluster 82,0.00861368473894776,2.7073883403777024,0.09988439494659265,0.8067256973114832,379.09081850533835,2.523222235960458e-68,
Cluster 84,0.002099493144113524,0.00508592478087126,0.9431465241642293,1.0,412.0268665578147,5.64218330870877e-73,
Cluster 85,1.3899120793688796e-05,0.0,1.0,1.0,403.4639332706767,8.859228470654344e-72,
Cluster 86,0.016145989116398432,10.269011476222227,0.0013528326777135498,0.033642578118370556,223.07398654790035,3.27474499950993e-44,
Cluster 88,0.006877687333670911,1.873787374065648,0.17104193649174623,1.0,387.00414173953055,1.8708348077371858e-69,
Cluster 89,0.023215395610311634,15.964558974646819,6.453948752022353e-05,0.0022684968844398864,51.00647206445648,2.2306684359214467e-12,
Cluster 91,0.0,0.0,1.0,1.0,420.8235294117647,3.405787592833776e-74,
Cluster 92,0.0,0.0,1.0,1.0,420.8235294117647,3.405787592833776e-74,
Cluster 94,0.0013551189416508291,0.7114143423415844,0.39897468401141445,1.0,161.44934804413234,1.4658054485232764e-33,
Cluster 95,0.005917187879627197,2.522579066542818,0.11222690110916266,0.8607406576332569,356.5266416095511,4.6666261767251486e-65,
Cluster 101,0.0006849279612755315,0.015341839215024834,0.9014243996207518,1.0,395.1258391699846,1.3204329804740723e-70,
Cluster 104,0.0024590967139747344,1.3883923970531618,0.23867677294946718,1.0,111.81994072122505,2.053628239104613e-24,
Cluster 105,0.0,0.0,1.0,1.0,420.8235294117647,3.405787592833776e-74,
Cluster 107,0.002099493144113524,0.00508592478087126,0.9431465241642293,1.0,412.0268665578147,5.64218330870877e-73,
Cluster 108,0.006877687333670911,1.873787374065648,0.17104193649174623,1.0,387.00414173953055,1.8708348077371858e-69,
