,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 0,0.0011184966189447254,3.54395683441961,0.05976273479626278,0.16674377225121362,137.91976791888882,3.0929230357808715e-31,3.429615926469507e-31
Cluster 2,0.0019428632035377513,3.768481883465596,0.052227014242861886,0.14832754947848603,519.48857285153,5.2751986471735054e-107,7.934446925284876e-107
Cluster 4,2.704356447032555e-05,0.0,1.0,1.0,564.4333085207221,2.036670648903219e-115,4.0508070071705226e-115
Cluster 6,0.0035307566846157976,5.6396956318331135,0.017558254988179894,0.060576140175817125,523.4199819991362,9.60192162719746e-108,1.4664315131754353e-107
Cluster 9,0.0005543513989276928,0.15067482570502774,0.6978913030969487,0.912742402020157,590.6119904259785,2.8412928792508935e-120,1.2230194548656925e-119
Cluster 10,0.0007382576419659318,1.4133882440872507,0.23449473883123412,0.4663458218775201,581.7485345044054,1.2409825532611772e-118,3.5223376981661232e-118
Cluster 15,0.0006900557305623348,1.6669889071653798,0.19666233137569977,0.4060826501166539,547.6485156113541,2.7503065268810227e-112,4.70260310670163e-112
Cluster 17,0.0005972410172213633,1.218617187799802,0.26963220025764467,0.505845122737605,568.7115357071245,3.259750998544197e-116,6.832626329541557e-116
Cluster 18,0.0009245681108764371,0.7047279759648035,0.401199571573859,0.6284350135648621,581.7485345044054,1.2409825532611772e-118,3.5223376981661232e-118
Cluster 19,7.303683975320996e-05,0.1783429039738341,0.672801207177558,0.9011583015523991,1399.7062612507807,3.4081549638913513e-256,1.888694214428927e-255
Cluster 20,0.012735530831045606,45.98373091804537,1.1923910253906791e-11,1.4262598608522855e-10,500.2710250730294,2.2385251924782855e-103,3.1687537879126773e-103
Cluster 21,0.0036864719837775665,12.150179719376377,0.0004908313453202721,0.002570599789933445,551.7961610327841,4.619030480168293e-113,8.131337466254106e-113
Cluster 23,0.0039935292887034145,10.284507327367564,0.0013415183491662253,0.0063334564383473,334.3078122479702,2.9565745539121813e-71,3.533996878290952e-71
Cluster 24,0.011871174179890639,27.013609363061903,2.020280175710386e-07,1.7436117200061057e-06,292.82835693125804,5.389283302444806e-63,6.298230594616167e-63
Cluster 26,0.0005125890281127347,0.6887128099889303,0.406602547096086,0.6306181656892871,560.1882275047521,1.257084330676745e-114,2.3810804557474725e-114
Cluster 27,0.0005216067495915494,1.1732076939559752,0.2787431247628027,0.52045469184864,543.5326962726318,1.61842860553148e-111,2.7031094530932386e-111
Cluster 28,0.002410659881457465,3.4643000484752022,0.0627070419606264,0.17216932263500512,547.6485156113541,2.7503065268810227e-112,4.70260310670163e-112
Cluster 29,0.0005125890281127347,0.6887128099889303,0.406602547096086,0.6306181656892871,560.1882275047521,1.257084330676745e-114,2.3810804557474725e-114
Cluster 32,0.09621950250358177,238.1308662820618,1.005232715928841e-53,4.170058794100412e-52,7.795007208716643,0.005268861215325868,0.0053861436004807054
Cluster 36,0.00012881696550864647,0.08318364312065368,0.7730285152624172,0.9844092042624562,555.9759557624357,7.665840136681775e-114,1.3975923170082925e-113
Cluster 37,0.002597012227777154,3.823903515262754,0.050526396962615364,0.14443218880347797,543.5326962726318,1.61842860553148e-111,2.7031094530932386e-111
