,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 0,0.009377605163898378,3.8941399961334335,0.04845484110594598,0.4065729519689972,409.94594594594594,3.856531157605996e-66,
Cluster 2,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 4,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 6,0.005959640922949587,0.35792149635449494,0.5496628553008316,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 9,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 10,0.003546613509510431,0.09781663541751584,0.754465657817095,1.0,666.2156123822346,2.154830496433467e-92,
Cluster 15,0.00714596222822346,0.8588319405910072,0.35406577123115257,1.0,606.4411764705875,7.665097134761243e-87,
Cluster 17,0.006160805402535101,1.8203303569960376,0.17727395848818567,0.9200144787312977,625.4308487720814,1.2254558011337854e-88,
Cluster 18,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 19,0.004688752604306484,1.8184803299037138,0.17749427376744903,0.9200144787312977,0.044886363636363655,0.8323041873224312,
Cluster 20,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 21,0.002613149071842305,0.38055780692274943,0.5373048586416114,1.0,645.3333333333333,1.7330946990436817e-90,
Cluster 23,0.009720148836069458,3.2093261862658413,0.07321963084817032,0.5280934399156342,645.3333333333333,1.7330946990436817e-90,
Cluster 24,0.018048130613559935,5.731278769598652,0.016665342915054386,0.17622316387767595,666.2156123822349,2.1548304964334058e-92,
Cluster 26,0.0011764410505974952,0.0,1.0,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 27,0.002488037869511954,0.5036050156739811,0.47792037797470144,1.0,588.303309280916,4.265576512120377e-85,
Cluster 28,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 29,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 32,0.009720148836069458,3.2093261862658413,0.07321963084817032,0.5280934399156342,645.3333333333333,1.7330946990436817e-90,
Cluster 36,0.00025944727596442785,0.0,1.0,1.0,666.2156123822346,2.154830496433467e-92,
Cluster 37,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 42,0.0023586266366403194,0.0,1.0,1.0,688.1513929618766,2.3398627280659288e-94,
Cluster 43,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 46,0.013999648067233458,6.087596986290533,0.013613411365726108,0.1687151277269076,508.5985401459854,4.702230842990545e-77,
Cluster 48,0.07450638297387562,24.194313473548632,8.708904199470273e-07,8.097564865271004e-05,141.33865638766517,1.0462665536595246e-28,
Cluster 49,0.011975270660685731,2.8052304532761867,0.09395734262627643,0.573345301276004,688.1513929618766,2.3398627280659288e-94,
Cluster 52,0.0011764410505974952,0.0,1.0,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 53,0.005959640922949587,0.35792149635449494,0.5496628553008316,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 54,0.005092891427657741,1.0829029102470042,0.29804906169033557,1.0,666.2156123822349,2.1548304964334058e-92,
Cluster 56,0.03838819371552177,16.57568276837191,4.674658520746412e-05,0.0021626024406639346,31.32043929225137,3.7064279554241464e-08,
Cluster 57,0.0009241890244578999,0.1919192194318847,0.6613240452497415,1.0,343.8020078081429,4.0981971786893146e-58,
Cluster 58,0.005129539714074968,1.7117238770816172,0.19076185894846295,0.9609367727921639,523.2246270387261,1.4079223577461267e-78,
Cluster 64,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 65,0.005959640922949587,0.35792149635449494,0.5496628553008316,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 67,0.0011764410505974952,0.0,1.0,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 68,0.005959640922949587,0.35792149635449494,0.5496628553008316,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 69,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 70,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 71,0.016398833982602803,5.141332290843824,0.0233627125041544,0.23631005354914578,312.1336536750313,4.8960737121687006e-54,
Cluster 72,0.011975270660685731,2.8052304532761867,0.09395734262627643,0.573345301276004,688.1513929618766,2.3398627280659288e-94,
Cluster 75,0.004874936209465726,1.3869955225528463,0.23891313988624516,1.0,370.2896764252696,2.1019531056536953e-61,
Cluster 76,0.003546613509510431,0.09781663541751584,0.754465657817095,1.0,666.2156123822346,2.154830496433467e-92,
Cluster 77,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 79,0.0059402223923526315,0.5721932810418824,0.44938867889735545,1.0,625.4308487720814,1.2254558011337854e-88,
Cluster 80,8.278785073242978e-06,0.0,1.0,1.0,399.51970394078796,6.463220097383025e-65,
Cluster 81,0.015362206008277406,4.789639668680618,0.028631415616706863,0.2743238425204782,319.69424460431645,5.0302528545383765e-55,
Cluster 82,0.005959640922949587,0.35792149635449494,0.5496628553008316,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 84,0.0011764410505974952,0.0,1.0,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 85,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 86,0.018048130613559935,5.731278769598652,0.016665342915054386,0.17622316387767595,666.2156123822346,2.154830496433467e-92,
Cluster 88,0.005092891427657741,1.0829029102470042,0.29804906169033557,1.0,666.2156123822346,2.154830496433467e-92,
Cluster 89,0.005959640922949587,0.35792149635449494,0.5496628553008316,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 91,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 92,0.0014815807927862842,0.21261858654006335,0.6447226791462057,1.0,570.9615635179152,2.123275762264915e-83,
Cluster 94,0.009720148836069458,3.2093261862658413,0.07321963084817032,0.5280934399156342,645.3333333333333,1.7330946990436817e-90,
Cluster 95,0.006160805402535101,1.8203303569960376,0.17727395848818567,0.9200144787312977,625.4308487720814,1.2254558011337854e-88,
Cluster 101,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 104,0.0027458197294316367,0.9774697608391681,0.32282428080253645,1.0,0.39543937708565086,0.5297569182196025,
Cluster 105,0.00025944727596442785,0.0,1.0,1.0,666.2156123822346,2.154830496433467e-92,
Cluster 107,0.00025944727596442785,0.0,1.0,1.0,666.2156123822346,2.154830496433467e-92,
Cluster 108,0.010799649250450766,1.7964228018612403,0.18014556300449455,0.9200144787312977,554.3650107991364,9.50122811295333e-82,
Cluster 109,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 112,0.005959640922949587,0.35792149635449494,0.5496628553008316,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 113,0.002464031988273531,1.0191651874434198,0.6007462817557989,1.0,7.638590459819511,0.0059357111875440365,
Cluster 116,0.007425570917990815,2.5705271101822826,0.10887144939247863,0.6439826409536302,588.303309280916,4.265576512120377e-85,
Cluster 117,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 123,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 124,0.009720148836069458,3.2093261862658413,0.07321963084817032,0.5280934399156342,645.3333333333333,1.7330946990436817e-90,
Cluster 126,0.0047404592713683885,0.31099792874218163,0.5770684610877237,1.0,645.3333333333333,1.7330946990436817e-90,
Cluster 130,0.005959640922949587,0.35792149635449494,0.5496628553008316,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 132,0.006736278191371903,2.4104859010553206,0.1205249507212893,0.693992814174599,538.4669811320755,3.840027334987795e-80,
Cluster 134,0.0012935870873174507,0.00043468731735827183,0.9833659852107557,1.0,688.1513929618766,2.3398627280659288e-94,
Cluster 137,0.009720148836069458,3.2093261862658413,0.07321963084817032,0.5280934399156342,645.3333333333333,1.7330946990436817e-90,
Cluster 138,0.0005261140059284533,0.0013265457788347195,0.9709460508304603,1.0,606.4411764705875,7.665097134761243e-87,
Cluster 140,0.0011764410505974952,0.0,1.0,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 144,0.014771926568687383,5.7696596122539585,0.0163051924347861,0.17622316387767595,625.4308487720814,1.2254558011337854e-88,
Cluster 148,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 149,0.02278305717425344,10.435833849479216,0.0012359373692308387,0.026868863638822328,154.5517047583364,6.581860078151918e-31,
Cluster 151,0.020439731404318644,9.349632906499966,0.002230301372388127,0.04454702476595338,538.4669811320755,3.840027334987795e-80,
Cluster 153,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 154,0.0011764410505974952,0.0,1.0,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 155,0.009720148836069458,3.2093261862658413,0.07321963084817032,0.5280934399156342,645.3333333333333,1.7330946990436817e-90,
Cluster 161,0.005959640922949587,0.35792149635449494,0.5496628553008316,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 162,0.008773756737652384,3.3338277367866276,0.06786875354163968,0.5248163287721519,554.3650107991364,9.50122811295333e-82,
Cluster 166,0.0012935870873174507,0.00043468731735827183,0.9833659852107557,1.0,688.1513929618766,2.3398627280659288e-94,
Cluster 173,0.0012935870873174507,0.00043468731735827183,0.9833659852107557,1.0,688.1513929618766,2.3398627280659288e-94,
Cluster 174,0.0006107804025957675,0.04864125487113995,0.8254446859873255,1.0,494.55241301907967,1.4361270926632972e-75,
Cluster 179,0.00025944727596442785,0.0,1.0,1.0,666.2156123822346,2.154830496433467e-92,
Cluster 182,0.003959525652482199,0.9991510051966355,0.3175160269929337,1.0,606.441176470588,7.665097134760589e-87,
Cluster 183,0.0,0.0,1.0,1.0,735.5172413793099,1.7850621774699126e-98,
Cluster 184,0.009720148836069458,3.2093261862658413,0.07321963084817032,0.5280934399156342,645.3333333333333,1.7330946990436817e-90,
Cluster 186,0.0011764410505974952,0.0,1.0,1.0,711.2219724641755,2.203193297132921e-96,
Cluster 190,0.002613149071842305,0.38055780692274943,0.5373048586416114,1.0,60.74999999999999,4.1400308594341324e-14,
Cluster 195,0.0009358467782569282,0.03384999419482179,0.8540262585091771,1.0,588.303309280916,4.265576512120377e-85,
