,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 0,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 2,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 4,0.007235868359068972,0.7604132785818831,0.38319921912218835,1.0,71.43820224719104,1.957017014255317e-15,
Cluster 6,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 9,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 10,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 15,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 17,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 18,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 19,0.02184694355648223,4.947430907675754,0.026129469548651193,0.5566520741882534,6.123361603700849,0.013969492701173696,
Cluster 20,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 21,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 23,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 24,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 26,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 27,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 28,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 29,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 32,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 36,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 37,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 42,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 43,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 46,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 48,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
