,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 0,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 2,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 4,0.014460479613644356,1.1069203558419725,0.2927523758678867,1.0,176.55636519502784,3.3915687400177745e-31,
Cluster 6,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 9,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 10,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 15,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 17,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 18,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 19,0.0014512903877219596,0.17351407347603465,0.6770074378398867,1.0,38.15598010991887,2.458188153844643e-09,
Cluster 20,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 21,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 23,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 24,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 26,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 27,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 28,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 29,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 32,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 36,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 37,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 42,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 43,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 46,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 48,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 49,0.007403192542148183,0.06609939759036146,0.7971030974390365,1.0,207.27884166277448,4.4265251195786036e-35,
Cluster 52,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 53,0.018166002304156895,1.686148060993976,0.19410951877720206,1.0,167.6592901878915,5.089129959862431e-30,
Cluster 54,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 56,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 57,0.0022878272296442126,0.1460195783132529,0.7023685882171767,1.0,144.17475728155347,8.586031446568908e-27,
Cluster 58,0.001029065757487499,0.031012488980311503,0.8602125280947561,1.0,130.74869888475843,7.325153015004718e-25,
Cluster 64,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 65,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 67,0.014902879445969117,1.2110119102363655,0.27113180822484684,1.0,196.2946509519493,1.0106422330418762e-33,
Cluster 68,0.0220900804335739,3.5403155182714334,0.059894066880512985,1.0,118.78114958943232,4.400667634900694e-23,
Cluster 69,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 70,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 71,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 72,0.0035623165461911577,0.0,1.0,1.0,207.27884166277448,4.4265251195786036e-35,
Cluster 75,0.004357380953890627,0.7511295180722886,0.386118854140158,1.0,56.3187588152327,9.455660018390274e-13,
Cluster 76,0.00028516126614210047,0.0,1.0,1.0,137.26395746296998,8.308376207888336e-26,
Cluster 77,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 79,0.0035623165461911577,0.0,1.0,1.0,207.27884166277448,4.4265251195786036e-35,
Cluster 80,0.004014285917680174,0.3408250188253011,0.5593533921224787,1.0,167.6592901878915,5.089129959862431e-30,
Cluster 81,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 82,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 84,0.004953903689760977,0.42479627170097745,0.514553448508541,1.0,159.3298045602606,6.766493805540016e-29,
Cluster 85,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 86,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 88,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 89,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 91,0.0009861240760847129,0.0,1.0,1.0,176.55636519502784,3.3915687400177745e-31,
Cluster 92,0.0009861240760847129,0.0,1.0,1.0,176.55636519502784,3.3915687400177745e-31,
Cluster 94,0.0035623165461911577,0.0,1.0,1.0,207.2788416627744,4.426525119578719e-35,
Cluster 95,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 101,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 104,0.00045456088786663407,0.02492839539978099,0.8745456159056673,1.0,23.502836004932185,2.131650968862194e-06,
Cluster 105,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 107,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 108,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 109,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 112,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 113,0.010315960146248554,2.1175652610441777,0.14561787391105852,1.0,18.460198403097024,2.4412205228479054e-05,
Cluster 116,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 117,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 123,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 124,4.782342631885761e-05,0.0,1.0,1.0,167.6592901878915,5.089129959862431e-30,
Cluster 126,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 130,0.0004852820871206545,0.0,1.0,1.0,196.2946509519493,1.0106422330418762e-33,
Cluster 132,1.5247308967791806e-05,0.0,1.0,1.0,16.222755640902545,7.36692755074319e-05,
Cluster 134,0.007378879106899841,0.8230153949129855,0.3643000078349409,1.0,151.51669316375194,8.035822668908302e-28,
Cluster 137,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 138,0.005657620884698178,0.9845920940398767,0.3210677156731562,1.0,81.73291731669265,3.4412559926760184e-17,
Cluster 140,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 144,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 148,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 149,9.171022153425801e-05,0.0,1.0,1.0,3.4655775962660433,0.06376986200568464,
Cluster 151,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 153,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 154,0.007999089132046777,1.1297167058696782,0.28783577409356065,1.0,124.59723233794617,5.916793488404506e-24,
Cluster 155,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 161,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 162,0.0004852820871206545,0.0,1.0,1.0,196.2946509519493,1.0106422330418762e-33,
Cluster 166,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 173,0.0035623165461911577,0.0,1.0,1.0,207.27884166277448,4.4265251195786036e-35,
Cluster 174,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 179,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 182,0.007403192542148183,0.06609939759036146,0.7971030974390365,1.0,207.27884166277448,4.4265251195786036e-35,
Cluster 183,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 184,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 186,0.007159366883401019,0.13727513105858546,0.7110050694681496,1.0,196.2946509519493,1.0106422330418762e-33,
Cluster 190,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 195,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 196,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 197,0.0011629607268111436,0.05617389079417527,0.8126487857581608,1.0,124.59723233794618,5.916793488404378e-24,
Cluster 201,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
