,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 0,0.00013046765416521722,0.0005908613445378152,0.9806072193866465,1.0,175.28994082840228,5.306171967445055e-34,7.541716557644986e-34
Cluster 2,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 4,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 6,0.0021147218681291033,0.0,1.0,1.0,356.96997690531174,5.534214484373157e-59,1.4194632204449429e-58
Cluster 9,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 10,0.0063807084155514185,0.576489041562571,0.4476918045192231,1.0,334.5739296514405,3.132444750721133e-56,6.308674207198185e-56
Cluster 15,0.0016751012299817576,0.1316009358288769,0.7167778747670177,1.0,314.0307692307693,1.2348839744679398e-53,2.1980795000077673e-53
Cluster 17,0.0022940569947208778,0.32497373949579844,0.5686338297133864,1.0,314.0307692307693,1.2348839744679398e-53,2.1980795000077673e-53
Cluster 18,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 19,0.007438383536117976,2.7556073641831325,0.09691400630779555,1.0,2.530180021178964,0.11239284274138067,0.11377929239708019
Cluster 20,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 21,0.00518600842645002,1.0588716538651661,0.30347267565378994,1.0,324.08510638297867,6.494020224104633e-55,1.2161388206168762e-54
Cluster 23,0.0006666438062568961,0.0001336790372257491,0.9907750920753949,1.0,324.08510638297867,6.494020224104633e-55,1.2161388206168762e-54
Cluster 24,0.0005579012007278089,0.0,1.0,1.0,324.08510638297867,6.494020224104633e-55,1.2161388206168762e-54
Cluster 26,0.0043427963627861305,0.06383412740096041,0.8005354694348056,1.0,356.96997690531174,5.534214484373157e-59,1.4194632204449429e-58
Cluster 27,0.007478324651118681,2.1597027572496885,0.14167209364378058,1.0,295.12408759124077,3.496788526757402e-51,5.812583306256799e-51
Cluster 28,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 29,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 32,0.013128147530401486,2.6844268112650465,0.10133368269121265,1.0,334.5739296514405,3.132444750721133e-56,6.308674207198185e-56
Cluster 36,0.0063807084155514185,0.576489041562571,0.4476918045192231,1.0,334.5739296514405,3.132444750721133e-56,6.308674207198185e-56
Cluster 37,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 42,0.00027636862352498764,0.0,1.0,1.0,345.52535234083916,1.380419624467282e-57,3.071486550963097e-57
Cluster 43,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 46,0.001261246978086071,0.17474837216109912,0.6759258030174964,1.0,261.5114353865581,1.1548477958136158e-46,1.7868474584787275e-46
Cluster 48,0.010114061293071908,3.9874399504903915,0.04584066310630503,0.74997697118269,63.823228634039445,1.1614392867171441e-14,1.2707029061434093e-14
Cluster 49,0.00027636862352498764,0.0,1.0,1.0,345.52535234083916,1.380419624467282e-57,3.071486550963097e-57
Cluster 52,0.0021147218681291033,0.0,1.0,1.0,356.96997690531174,5.534214484373157e-59,1.4194632204449429e-58
Cluster 53,0.0043427963627861305,0.06383412740096041,0.8005354694348056,1.0,356.96997690531174,5.534214484373157e-59,1.4194632204449429e-58
Cluster 54,0.008718662692572293,1.1894065361570636,0.27544929765882586,1.0,345.52535234083916,1.380419624467282e-57,3.071486550963097e-57
Cluster 56,0.00708477680498143,2.716181971353823,0.09933536662422211,1.0,13.231448907796777,0.0003073090546555039,0.00032057358276901934
Cluster 57,0.00018012370891479224,0.007093480059133703,0.9328792907205778,1.0,148.5622418220386,1.033840257019604e-29,1.4387476849697726e-29
Cluster 58,0.004539993864644459,1.3229832374126127,0.2500573538825099,1.0,196.00000000000003,3.3731503799591306e-37,4.871697407738051e-37
Cluster 64,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 65,0.0043427963627861305,0.06383412740096041,0.8005354694348056,1.0,356.96997690531174,5.534214484373157e-59,1.4194632204449429e-58
Cluster 67,0.0043427963627861305,0.06383412740096041,0.8005354694348056,1.0,356.96997690531174,5.534214484373157e-59,1.4194632204449429e-58
Cluster 68,0.0043427963627861305,0.06383412740096041,0.8005354694348056,1.0,356.96997690531174,5.534214484373157e-59,1.4194632204449429e-58
Cluster 69,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 70,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 71,0.020621740474007756,7.018006556070702,0.008069401897592424,0.3667819773110021,156.95541401273888,4.431599007040952e-31,6.195114150340539e-31
Cluster 72,0.00027636862352498764,0.0,1.0,1.0,345.52535234083916,1.380419624467282e-57,3.071486550963097e-57
Cluster 75,4.630896142882035e-05,0.0,1.0,1.0,190.5765611633874,2.2644330294664892e-36,3.2532480918846086e-36
Cluster 76,0.0023067573367482296,0.19322762888939365,0.6602437574010455,1.0,334.5739296514405,3.132444750721133e-56,6.308674207198185e-56
Cluster 77,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 79,2.3703475643961636e-05,0.0,1.0,1.0,314.0307692307693,1.2348839744679398e-53,2.1980795000077673e-53
