,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 0,0.011642820246040617,10.671902617392867,0.0010877517581953668,0.011718786778503167,164.19258656584273,6.635237373209393e-35,
Cluster 2,0.0012215215516550998,0.36318714741801494,0.5467414815062253,1.0,348.6187930438064,6.10030458654141e-67,
Cluster 4,0.004156921440773828,2.4880100335796564,0.11471668932089521,0.5082811058525579,342.69263177605103,5.538721191105768e-66,
Cluster 6,0.0022793363922443584,0.27352669132844437,0.6009757891922112,1.0,367.1228872219182,6.623783378414017e-70,
Cluster 9,0.0,0.0,1.0,1.0,380.0989399293285,5.842041947503637e-72,
Cluster 10,0.0,0.0,1.0,1.0,380.0989399293285,5.842041947503637e-72,
Cluster 15,0.001138127040566395,0.0,1.0,1.0,373.5444455262389,6.337281407461953e-71,
Cluster 17,0.001138127040566395,0.0,1.0,1.0,373.5444455262389,6.337281407461953e-71,
Cluster 18,0.001138127040566395,0.0,1.0,1.0,373.5444455262389,6.337281407461953e-71,
Cluster 19,0.011722695895999696,11.089553371341173,0.0008681539090214205,0.009593913953617864,84.33292429173558,2.360182175889893e-19,
Cluster 20,0.0033665931159923765,0.8226619359857614,0.3644030261716702,0.9335107381908628,367.1228872219182,6.623783378414017e-70,
Cluster 21,0.0013480524802124624,0.5600822120758102,0.45422711997238285,1.0,342.69263177605103,5.538721191105768e-66,
Cluster 23,0.008898279124228102,7.650367974829883,0.005676074225254483,0.049125781125553256,248.94540820521254,3.153536088852999e-50,
Cluster 24,0.007686002411389659,5.6434306826204566,0.017520890669518223,0.12367494816273615,270.56581999208004,5.765215024360098e-54,
Cluster 26,0.001680648115027033,0.01839588264062664,0.8921126637969644,1.0,373.5444455262389,6.337281407461953e-71,
Cluster 27,0.001138127040566395,0.0,1.0,1.0,373.5444455262389,6.337281407461953e-71,
Cluster 28,0.004571070949160018,1.556821939044284,0.2121311568505188,0.7291887790117542,354.6636242631679,6.493758552520159e-68,
Cluster 29,0.004571070949160018,1.556821939044284,0.2121311568505188,0.7291887790117542,354.6636242631679,6.493758552520159e-68,
Cluster 32,0.05978276333439363,53.57263181165871,2.4920697001137897e-13,4.849259339138946e-11,27.309069276945536,2.1118882443193667e-07,
Cluster 36,0.001138127040566395,0.0,1.0,1.0,373.5444455262389,6.337281407461953e-71,
Cluster 37,3.6606028143098754e-05,0.0,1.0,1.0,367.122887221918,6.623783378414017e-70,
Cluster 42,0.0,0.0,1.0,1.0,380.0989399293285,5.842041947503637e-72,
Cluster 43,0.0,0.0,1.0,1.0,380.0989399293285,5.842041947503637e-72,
Cluster 46,0.00025186416275354076,0.006491509043991428,0.9357840034049564,1.0,342.69263177605086,5.538721191106083e-66,
Cluster 48,0.0028624455184012403,1.4681272955746407,0.2256413968429526,0.7449183040559549,348.6187930438064,6.10030458654141e-67,
Cluster 49,0.002778589591778985,1.3817049038186617,0.23981095357724924,0.7733524258962207,336.88189927522757,4.863847379537064e-65,
Cluster 52,0.00025186416275354076,0.006491509043991428,0.9357840034049564,1.0,342.69263177605086,5.538721191106083e-66,
Cluster 53,0.008456565917524667,4.4893964768029075,0.034105716085218396,0.20692555162600362,348.6187930438064,6.10030458654141e-67,
Cluster 54,0.0001482301687983148,0.0007112664710636294,0.9787232765350713,1.0,331.18347270044274,4.133934320852898e-64,
Cluster 56,0.0007112356866847969,0.5292518239294404,0.46692157814894697,1.0,79.19363702979972,2.6095760367527635e-18,
Cluster 57,0.0568425615303417,53.03316956697362,3.279630979327284e-13,5.952214878346393e-11,2.5947013905098553,0.10753848665917673,
Cluster 58,0.0036636809602199755,2.6550709558630547,0.10322015074366439,0.47565438117350234,304.27426385552883,1.1492390877859387e-59,
Cluster 64,0.0005845001443931484,0.05499955012432925,0.8145814411681724,1.0,354.6636242631679,6.493758552520159e-68,
Cluster 65,0.004939347266671751,3.8956386383505266,0.048411629936854446,0.277151809238134,221.6359238616048,2.0709284795654677e-45,
Cluster 67,0.003423645248091422,0.871192402171611,0.35062541273546155,0.9335107381908628,360.8304906094291,6.676118696202432e-69,
Cluster 68,0.014549605953459176,11.095942277454613,0.000865168130155384,0.009567768762163947,304.2742638555288,1.1492390877859387e-59,
Cluster 69,0.0022793363922443584,0.27352669132844437,0.6009757891922112,1.0,367.122887221918,6.623783378414017e-70,
Cluster 70,0.0075869181701595095,6.084237221526751,0.013639324257714119,0.10236272181485248,217.98972629597688,9.283241540360048e-45,
Cluster 71,0.0012132586886940654,0.5565569214500589,0.4556508472733003,1.0,331.1834727004427,4.133934320852898e-64,
Cluster 72,0.0019645075839528087,0.8272379244841999,0.3630724297975484,0.9335107381908628,342.69263177605086,5.538721191106083e-66,
Cluster 75,0.0018710519133088022,1.4433313649855162,0.22960101306324582,0.7565850421733179,203.988877809312,3.0780942762451474e-42,
Cluster 76,1.4478307674356539e-06,0.0,1.0,1.0,289.29940745904486,3.750159524558277e-57,
Cluster 77,0.00025186416275354076,0.006491509043991428,0.9357840034049564,1.0,342.69263177605086,5.538721191106083e-66,
Cluster 79,0.0001107174033738445,0.0,1.0,1.0,342.69263177605086,5.538721191106083e-66,
Cluster 80,0.0006624037265534621,0.3231110838911726,0.5697439686796582,1.0,284.4883009722745,2.443097847071636e-56,
Cluster 81,0.003567511794603337,3.0200418632783905,0.08224134315091816,0.39081202214843414,181.55508453689558,3.8978881110974387e-38,
Cluster 82,2.2416760276759012e-05,0.0,1.0,1.0,348.6187930438064,6.10030458654141e-67,
Cluster 84,0.0023028983950142065,1.2752562260683815,0.2587829265711722,0.811652997512608,336.88189927522757,4.863847379537064e-65,
