,mi,chi2,anova,svm
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_3",,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2",,,,
Dihydrofolate reductase (EC 1.5.1.3)_8,,,,
Dihydrofolate reductase (EC 1.5.1.3)_1,21.0,33.0,,19.0
Dihydrofolate reductase (EC 1.5.1.3)_7,505.0,738.0,,225.0
Dihydrofolate reductase (EC 1.5.1.3)_4,,,,193.0
Dihydrofolate reductase (EC 1.5.1.3)_6,,,,
Dihydrofolate reductase (EC 1.5.1.3)_2,,,,
Dihydrofolate reductase (EC 1.5.1.3)_9,294.0,350.0,,29.0
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_1",,,,
