,mi,chi2,anova,svm
"iron aquisition outermembrane yersiniabactin receptor (FyuA,Psn,pesticin receptor) @ Outer membrane receptor for ferric siderophore_2",,,,
Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)_1,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_1,1.0,1.0,,1.0
Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)_6,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_2,,,,
Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id_2,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_6,,,,
16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)_1,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_9,432.0,439.0,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_4,,,,
SSU ribosomal protein S12p (S23e)_1,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_8,177.0,245.0,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_5,,,,
