,mi,chi2,anova,svm,betweenness,weighted_betweenness,closeness,weighted_closeness,eigenvector,page_rank,degree,weighted_degree,clustering_coef
"iron aquisition outermembrane yersiniabactin receptor (FyuA,Psn,pesticin receptor) @ Outer membrane receptor for ferric siderophore_2 (streptomycin)",,,,,,,,,,,,,
Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)_1 (streptomycin),,,,,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_1 (streptomycin),1.0,1.0,,1.0,456.0,,,,,,,,
Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)_6 (streptomycin),,,,,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_2 (streptomycin),,,,,,,,,,,,,
Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id_2 (streptomycin),,,,,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_6 (streptomycin),,,,,,,,,,,,,
16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)_1 (streptomycin),,,,,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_9 (streptomycin),432.0,439.0,,,,,,,,,,,912.0
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_4 (streptomycin),,,,,366.0,67.0,487.0,262.0,,802.0,639.0,639.0,
SSU ribosomal protein S12p (S23e)_1 (streptomycin),,,,,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_8 (streptomycin),177.0,245.0,,,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_5 (streptomycin),,,,,,724.0,558.0,341.0,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_3 (sulfamethoxazole)",,,,,,,,,,,,,
