,mi,chi2,anova,svm
Transcription-repair coupling factor_1,,,23.0,
"Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)_1",,,35.0,
DNA gyrase subunit A (EC 5.99.1.3)_1,,,80.0,
DNA gyrase subunit B (EC 5.99.1.3)_2,,,104.0,
Lipid A export permease/ATP-binding protein MsbA_1,,,325.0,
"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_4",,,,
"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_3",,,,
"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA_1",,,986.0,
"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE_5",,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_3",,,,
"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_6",,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2",,,,729.0
Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10_1,,,,
Pentapeptide repeat protein QnrB family_1,,,,
DNA-binding protein H-NS_6,,,,
DNA-binding protein H-NS_1,,,,
DNA-binding protein H-NS_7,,,,
DNA-binding protein H-NS_3,,,,
DNA-binding protein H-NS_5,378.0,509.0,,
DNA-binding protein H-NS_2,,,,
DNA-binding protein H-NS_4,,,,
"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_5",,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_1",,978.0,,682.0
"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE_2",,,,
AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump_2,,,,
