Cluster,gene_representative,pan_gene_class,product_name,frequency
Cluster 0,562.19186.peg.1049,accessory,T1SS secreted agglutinin RTX_1,229
Cluster 2,562.22879.peg.493,unique,T1SS secreted agglutinin RTX_17,20
Cluster 4,562.7699.peg.680,unique,T1SS secreted agglutinin RTX_37,10
Cluster 6,562.22452.peg.2000,unique,T1SS secreted agglutinin RTX_3,20
Cluster 9,562.23833.peg.3029,unique,T1SS secreted agglutinin RTX_24,6
Cluster 10,562.22834.peg.2582,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_16",5
Cluster 15,562.23497.peg.4112,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_28",14
Cluster 17,562.22996.peg.2494,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_18",13
Cluster 18,562.22666.peg.2561,unique,T1SS secreted agglutinin RTX_11,5
Cluster 19,562.23913.peg.35,accessory,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_28",1557
Cluster 20,562.22527.peg.1941,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_7",27
Cluster 21,562.23368.peg.1843,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_24",17
Cluster 23,562.22435.peg.4511,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_2",89
Cluster 24,562.22776.peg.3093,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_64,112
Cluster 26,562.22635.peg.4128,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_46,11
Cluster 27,562.22824.peg.4653,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_68,15
Cluster 28,562.22563.peg.4111,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_36,13
Cluster 29,562.23206.peg.4309,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_111,10
Cluster 32,562.22430.peg.4309,accessory,Polyketide synthase modules and related proteins_7,572
Cluster 36,562.12959.peg.1832,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_1",15
Cluster 37,562.23714.peg.4100,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_132,17
Cluster 42,562.42821.peg.3890,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_43",7
Cluster 43,562.22520.peg.3880,unique,T1SS secreted agglutinin RTX_5,6
Cluster 46,562.23509.peg.1251,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_56,39
Cluster 48,562.12959.peg.3518,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_1,93
Cluster 49,562.22452.peg.2770,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_4",38
Cluster 52,562.22454.peg.462,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_3",17
Cluster 53,562.42838.peg.4273,unique,Phage protein_653,14
Cluster 54,562.22789.peg.3714,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_31,43
Cluster 56,562.12959.peg.2330,accessory,RatA homolog_1,468
Cluster 57,562.22428.peg.3756,accessory,RatA homolog_2,848
Cluster 58,562.22436.peg.4787,unique,Invasin_6,51
Cluster 64,562.22831.peg.3169,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_32,13
Cluster 65,562.22607.peg.4447,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_43,126
Cluster 67,562.23493.peg.4851,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_21",8
Cluster 68,562.23511.peg.17,unique,Invasin_46,17
Cluster 69,562.23619.peg.4594,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_124,6
Cluster 70,562.22450.peg.23,unique,Polyketide synthase modules and related proteins_11,115
Cluster 71,562.16325.peg.832,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_2,86
Cluster 72,562.22603.peg.2285,unique,RatA homolog_10,25
Cluster 75,562.12960.peg.2226,unique,Invasin_2,118
Cluster 76,562.42636.peg.104,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_74,46
Cluster 77,562.22482.peg.1296,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_5",19
Cluster 79,562.42854.peg.3844,unique,Phage protein_660,30
Cluster 80,562.12960.peg.5378,unique,Phage protein_23,111
Cluster 81,562.42782.peg.525,accessory,COG3210: Large exoproteins involved in heme utilization or adhesion_89,179
Cluster 82,562.23384.peg.4254,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_25",18
Cluster 84,562.23720.peg.1422,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_25",13
Cluster 85,562.22666.peg.2562,unique,T1SS secreted agglutinin RTX_10,6
Cluster 86,562.22559.peg.4313,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_14,148
Cluster 88,562.22529.peg.3559,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_12,14
Cluster 89,562.23220.peg.984,accessory,Polyketide synthase modules and related proteins_48,447
Cluster 91,562.7652.peg.3530,unique,RatA homolog_33,5
Cluster 92,562.22700.peg.3444,unique,Invasin_22,16
Cluster 94,562.7693.peg.3356,unique,DEAD-box helicase-related protein_17,137
