patric_id,classification,product,antibiotics,feature_id,gene,genome_id,refseq_locus_tag,source,evidence,query_coverage
fig|562.12959.peg.5330,antibiotic inactivation enzyme,Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating,"ciprofloxacin, dibekacin, arbekacin, netilmicin, neomycin, isepamicin, sisomicin, tobramycin, amikacin, kanamycin a, gentamicin b",PATRIC.562.12959.MPCP01000004.CDS.16667.17266.fwd,,562.12959,,PATRIC,K-mer Search,
fig|562.12959.peg.387,efflux pump conferring antibiotic resistance,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM","ampicillin, amoxicillin/clavulanic acid, azithromycin, aztreonam, ceftazidime, ceftriaxone, chloramphenicol, ciprofloxacin, colistin, erythromycin, meropenem, nalidixic acid, novobiocin, panipenem, tetracycline, ticarcillin, trimethoprim, trimethoprim/sulfamethoxazole, sulfamethoxazole ",PATRIC.562.12959.MPCP01000001.CDS.370280.371038.rev,,562.12959,,PATRIC,K-mer Search,
fig|562.12959.peg.2503,efflux pump conferring antibiotic resistance,"Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK",tetracycline,PATRIC.562.12959.MPCP01000001.CDS.2559690.2560853.fwd,,562.12959,,PATRIC,K-mer Search,
fig|562.12959.peg.3419,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarR,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.12959.MPCP01000001.CDS.3483371.3483805.rev,,562.12959,,PATRIC,K-mer Search,
fig|562.12959.peg.4379,efflux pump conferring antibiotic resistance,AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump,"ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.12959.MPCP01000001.CDS.4387057.4387206.rev,,562.12959,,PATRIC,K-mer Search,
fig|562.12961.peg.4224,"antibiotic target protection protein, fluoroquinolone resistance gene",Transcription-repair coupling factor,ciprofloxacin,PATRIC.562.12961.FLXF01000001.CDS.1868973.1872419.fwd,mfd,562.12961,SAMEA3531867_01775,CARD,BLAT,100.0
fig|562.12961.peg.4459,efflux pump conferring antibiotic resistance,"Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum","tetracycline, rhodamine, benzalkonium chloride",PATRIC.562.12961.FLXF01000001.CDS.2122590.2123822.rev,cmr,562.12961,SAMEA3531867_02008,PATRIC,K-mer Search,
fig|562.12961.peg.673,antibiotic target in susceptible species,Dihydrofolate reductase (EC 1.5.1.3),"trimethoprim, brodimoprim, tetroxoprim, iclaprim",PATRIC.562.12961.FLXF01000005.CDS.198711.199190.rev,folA,562.12961,SAMEA3531867_04124,PATRIC,K-mer Search,
fig|562.12961.peg.2699,antibiotic target in susceptible species,DNA gyrase subunit A (EC 5.99.1.3),"clofazimine, ciprofloxacin, gatifloxacin, levofloxacin, moxifloxacin, nalidixic acid, ofloxacin, sparfloxacin, trovafloxacin",PATRIC.562.12961.FLXF01000001.CDS.328708.331341.fwd,gyrA,562.12961,SAMEA3531867_00317,PATRIC,K-mer Search,
fig|562.12961.peg.4569,efflux pump conferring antibiotic resistance,AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump,"ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.12961.FLXF01000001.CDS.2242281.2242430.rev,ybhT,562.12961,SAMEA3531867_02114,PATRIC,K-mer Search,
